,Classes,Model,Backbone,Trained Dataset,Test Dataset,Trained Epochs,Batch Size,optimizer,loss,Images Count,mIoU,Precision,Recall,F1-score (Dice-score),F2-score
IDD_Unet_efficientnetB6_alpha1_102epoch_IDD,3,Unet,efficientnetB6,IDD,IDD,102,2,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.935507685663308,0.966729734464684,0.964703715403658,0.964771986114051,0.964548664526259
IDD_Unet_efficientnetB1_alpha1_169epoch_IDD,3,Unet,efficientnetB1,IDD,IDD,169,4,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.930382308481716,0.96256700446033,0.96365233552099,0.961783634856321,0.962565753882052
IDD_Unet_efficientnetB0_alpha1_172epoch_IDD,3,Unet,efficientnetB0,IDD,IDD,172,4,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.929789304671518,0.964161625481639,0.961232963702116,0.96172515823837,0.961219338659305
IDD_Unet_mobilenetV2_alpha1_125epoch_IDD,3,Unet,MobilenetV2 alpha1.0,IDD,IDD,125,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.924768611786979,0.962023959966781,0.95788104196426,0.958814570817804,0.9580306418419
IDD_Dv3p_mobilenetV2_upsampleby2_custom_alpha0_35_168epoch_IDD,3,Dv3p,MobilenetV2 alpha0.35,IDD,IDD,168,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.923801275419618,0.961042069484692,0.957990114072,0.958356377750826,0.957920497122888
IDD_Linknet_mobilenetV2_alpha1_100epoch_IDD,3,Linknet,MobilenetV2 alpha1.0,IDD,IDD,100,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.919378630757875,0.959779188600961,0.953338127920662,0.955662779839755,0.954095486466147
IDD_Unet_mobilenetV2_alpha0_35_150epoch_IDD,3,Unet,MobilenetV2 alpha0.35,IDD,IDD,150,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.9179680922601,0.961496855886483,0.950309282021658,0.95469443607142,0.951842498444387
IDD_Dv3p_mobilenetV2_upsampleby4_1X1_DSC_custom_alpha0_35_340epoch_IDD,3,Dv3p,MobilenetV2 alpha0.35,IDD,IDD,340,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.912327723658299,0.955982275191976,0.948532735715773,0.951089051549738,0.94933608589456
IDD_Dv3p_mobilenetV2_upsampleby4_custom_alpha0_35_111epoch_IDD,3,Dv3p,MobilenetV2 alpha0.35,IDD,IDD,111,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.911748393339832,0.9550985719957,0.949369408604197,0.951108693712097,0.949833538969406
IDD_PSPnet_mobilenetV2_alpha1_125epoch_IDD,3,PSPnet,MobilenetV2 alpha1.0,IDD,IDD,125,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.889653239464312,0.941406103777621,0.937448567422444,0.937932286189252,0.937336956736412
CS_mobilenetV2_alpha0_3_650epoch_CS,3,DeeplabV3p,MobilenetV2 alpha0.3,CS,CS,650,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.870145270713398,0.928871271526768,0.92051523085117,0.922427957288686,0.920684436035927
CS_mobilenetV2_alpha0_3_475epoch_CS,3,DeeplabV3p,MobilenetV2 alpha0.3,CS,CS,475,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.865492148489159,0.923830370574995,0.922028736190718,0.918696019946283,0.919862171348398
CS_mobilenetV2_alpha0_3_175epoch_CS,3,DeeplabV3p,MobilenetV2 alpha0.3,CS,CS,175,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.8540874102339,0.925750567104918,0.907405034183771,0.910578174018013,0.907535042435078
IDD_mobilenetV2_alpha1_725epoch_IDD,3,DeeplabV3p,MobilenetV2 alpha1.0,IDD,IDD,725,16,"adam,nadam(275 onwards) + with_Reduce_LR(350 onwards)",dice_loss + categorical_crossentropy + jaccard_loss,1020,0.844199557575631,0.906582553386682,0.914220360774374,0.908199994584742,0.91121694250262
IDD_mobilenetV2_alpha1_75epoch_IDD,3,DeeplabV3p,MobilenetV2 alpha1.0,IDD,IDD,75,16,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.84280868039099,0.915351639099404,0.903723698240049,0.90727751588479,0.904684495491218
IDD_mobilenetV2_alpha1_350epoch_IDD,3,DeeplabV3p,MobilenetV2 alpha1.0,IDD,IDD,350,16,adam+nadam(275 onwards),dice_loss + categorical_crossentropy + jaccard_loss,1016,0.83304036984309,0.900465465358819,0.89976952939406,0.895490685948304,0.897102601519054
CS_mobilenetV2_bs4_CS,5,DeeplabV3p,MobilenetV2 alpha1.0,CS,CS,84,4,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.743021891807693,0.852508534373198,0.81856291277301,0.822538480862265,0.817763824601951
IDD_Unet_efficientnetB1_alpha1_169epoch_CS,3,Unet,efficientnetB1,IDD,CS,169,4,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.736945094856969,0.81397921538889,0.878560476446646,0.83481300198848,0.857184155955713
IDD_Unet_efficientnetB6_alpha1_102epoch_CS,3,Unet,efficientnetB6,IDD,CS,102,2,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.724194149525772,0.803299049063455,0.868500158366565,0.823064888520972,0.845677883819411
IDD_Linknet_mobilenetV2_alpha1_100epoch_CS,3,Linknet,MobilenetV2 alpha1.0,IDD,CS,100,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.707557416052025,0.810975558603976,0.836996693525865,0.815088203825299,0.825788310365249
CS_Dv3p_xception_OS16_bs12_CS,5,DeeplabV3p,Xception OS16,CS,CS,60,12,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.705746156293761,0.815081356603204,0.794163360917123,0.792238255308485,0.79001699531697
IDD_mobilenetV2_apha1_725epoch_CS,3,DeeplabV3p,MobilenetV2 alpha1.0,IDD,CS,725,16,"adam,nadam(275 onwards) + with_Reduce_LR(350 onwards)",dice_loss + categorical_crossentropy + jaccard_loss,500,0.70420138411512,0.820824768313907,0.834737746526307,0.817251204142188,0.824993245301396
IDD_Unet_mobilenetV2_alpha1_125epoch_CS,3,Unet,MobilenetV2 alpha1.0,IDD,CS,125,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.703853585398759,0.792599001994017,0.847816487883532,0.806849310292371,0.826419051780592
IDD_Unet_efficientnetB0_alpha1_172epoch_CS,3,Unet,efficientnetB0,IDD,CS,172,4,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.70294643519562,0.775713216978498,0.844518240052143,0.796338827346961,0.819490059672775
CS_Dv3p_xception_OS8_bs12_CS,5,DeeplabV3p,Xception OS16,CS,CS,60,12,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.695628157263781,0.795993282920881,0.792435048431822,0.784257929465709,0.785929204910822
CS_mobilenetV2_alpha0_3_650epoch_IDD,3,DeeplabV3p,MobilenetV2 alpha0.3,CS,IDD,650,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.693915837065315,0.839116655307596,0.813565612664314,0.811642157486708,0.809772035329373
IDD_mobilenetV2_apha1_75epoch_CS,3,DeeplabV3p,MobilenetV2 alpha1.0,IDD,CS,75,16,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.687585404086549,0.811152942774362,0.818459344630145,0.801877158044918,0.808709123266073
IDD_mobilenetV2_apha1_350epoch_CS,3,DeeplabV3p,MobilenetV2 alpha1.0,IDD,CS,350,16,adam+nadam(275 onwards),dice_loss + categorical_crossentropy + jaccard_loss,484,0.684523422549825,0.806061196317572,0.811062905566298,0.794792794575602,0.800980755392637
IDD_mobilenetV2_apha1_350epoch_BDD,3,DeeplabV3p,MobilenetV2 alpha1.0,IDD,BDD,350,16,adam+nadam(275 onwards),dice_loss + categorical_crossentropy + jaccard_loss,1000,0.683484939834873,0.782480067754337,0.828049944221223,0.783499953206361,0.800644659985028
IDD_Dv3p_mobilenetV2_upsampleby4_1X1_DSC_custom_alpha0_35_340epoch_CS,3,Dv3p,MobilenetV2 alpha0.35,IDD,CS,340,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.659208555698074,0.762818013274122,0.817660286089453,0.770094581628708,0.789872561553344
IDD_Dv3p_mobilenetV2_upsampleby4_custom_alpha0_35_111epoch_CS,3,Dv3p,MobilenetV2 alpha0.35,IDD,CS,111,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.657102136755599,0.754641933855221,0.831386737360235,0.772291542992609,0.799328128418234
IDD_Unet_efficientnetB6_alpha1_102epoch_BDD,3,Unet,efficientnetB6,IDD,BDD,102,2,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.648662204742508,0.77471405455358,0.803258877169149,0.750631798138236,0.766699095590004
CS_mobilenetV2_alpha0_3_475epoch_IDD,3,DeeplabV3p,MobilenetV2 alpha0.3,CS,IDD,475,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1016,0.648185794874241,0.777858947118133,0.808369326369903,0.761949557249703,0.772694249379293
IDD_Unet_efficientnetB1_alpha1_169epoch_BDD,3,Unet,efficientnetB1,IDD,BDD,169,4,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.643696209956764,0.764808814487433,0.801139007591534,0.751507120484876,0.768559083627162
IDD_PSPnet_mobilenetV2_alpha1_125epoch_CS,3,PSPnet,MobilenetV2 alpha1.0,IDD,CS,125,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.638293054054572,0.754086298274749,0.78621538675301,0.759163464727609,0.772127290059956
IDD_mobilenetV2_apha1_75epoch_BDD,3,DeeplabV3p,MobilenetV2 alpha1.0,IDD,BDD,75,16,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.638044070139786,0.762610123693828,0.789145210812959,0.750003461008883,0.762893515470374
IDD_Unet_efficientnetB0_alpha1_172epoch_BDD,3,Unet,efficientnetB0,IDD,BDD,172,4,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.637484515639833,0.765452846529098,0.809453962661868,0.747745814467602,0.767417053271942
IDD_Unet_mobilenetV2_alpha0_35_150epoch_CS,3,Unet,MobilenetV2 alpha0.35,IDD,CS,150,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.636943997926691,0.743997324344906,0.781452377288774,0.744363348647559,0.759075554763015
IDD_mobilenetV2_apha1_725epoch_BDD,3,DeeplabV3p,MobilenetV2 alpha1.0,IDD,BDD,725,16,"adam,nadam(275 onwards) + with_Reduce_LR(350 onwards)",dice_loss + categorical_crossentropy + jaccard_loss,1000,0.635066995526569,0.754241788287789,0.795685748407945,0.74971959923783,0.767017320108126
IDD_Dv3p_mobilenetV2_upsampleby2_custom_alpha0_35_168epoch_CS,3,Dv3p,MobilenetV2 alpha0.35,IDD,CS,168,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.631231120121539,0.732254394892905,0.800990538040418,0.738928813281052,0.763210649241776
IDD_Linknet_mobilenetV2_alpha1_100epoch_BDD,3,Linknet,MobilenetV2 alpha1.0,IDD,BDD,100,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.622147367558454,0.73573377684411,0.785010695507026,0.733305543835383,0.749131397498181
IDD_Unet_mobilenetV2_alpha1_125epoch_BDD,3,Unet,MobilenetV2 alpha1.0,IDD,BDD,125,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.611536916466982,0.748095138109994,0.756380224043059,0.725886106113929,0.735377567784929
CS_mobilenetV2_alpha0_3_650epoch_BDD,3,DeeplabV3p,MobilenetV2 alpha0.3,CS,BDD,650,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.561842953353419,0.679018800015626,0.745130719356341,0.676090526297351,0.698831336845916
IDD_Dv3p_mobilenetV2_upsampleby2_custom_alpha0_35_168epoch_BDD,3,Dv3p,MobilenetV2 alpha0.35,IDD,BDD,168,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.523592285274789,0.716733217680382,0.710352812477216,0.644266242679473,0.658440721550398
IDD_PSPnet_mobilenetV2_alpha1_125epoch_BDD,3,PSPnet,MobilenetV2 alpha1.0,IDD,BDD,125,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.520480243811753,0.68991379322361,0.67048211982521,0.641937332639637,0.65045033171507
IDD_Unet_mobilenetV2_alpha0_35_150epoch_BDD,3,Unet,MobilenetV2 alpha0.35,IDD,BDD,150,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.514905605192395,0.69795768422388,0.682071392554832,0.629591219111118,0.647439412889302
IDD_Dv3p_mobilenetV2_upsampleby4_1X1_DSC_custom_alpha0_35_340epoch_BDD,3,Dv3p,MobilenetV2 alpha0.35,IDD,BDD,340,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.513681910701998,0.691177017767939,0.674556087201965,0.625176899740633,0.637426684689164
IDD_Dv3p_mobilenetV2_upsampleby4_custom_alpha0_35_111epoch_BDD,3,Dv3p,MobilenetV2 alpha0.35,IDD,BDD,111,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.51367250021234,0.692120192859366,0.693883191029822,0.627191277399557,0.639217451682456
