,Classes,Model,Backbone,Trained Dataset,Test Dataset,Trained Epochs,Batch Size,optimizer,loss,Images Count,mIoU,Precision,Recall,F1-score (Dice-score),F2-score
CS_Dv3p_xception_OS16_bs12_CS,5,DeeplabV3p,Xception OS16,CS,CS,60,12,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.705746156293761,0.8150813566032038,0.7941633609171226,0.7922382553084848,0.7900169953169698
CS_Dv3p_xception_OS8_bs12_CS,5,DeeplabV3p,Xception OS16,CS,CS,60,12,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.695628157263781,0.7959932829208808,0.7924350484318218,0.784257929465709,0.7859292049108222
CS_mobilenetV2_bs4_CS,5,DeeplabV3p,MobilenetV2 alpha1.0,CS,CS,84,4,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.7430218918076933,0.8525085343731977,0.8185629127730101,0.8225384808622651,0.8177638246019505
CS_mobilenetV2_edge_175epoch_CS,3,DeeplabV3p,MobilenetV2 alpha0.3,CS,CS,175,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.8540874102339001,0.9257505671049185,0.9074050341837706,0.9105781740180134,0.9075350424350783
CS_mobilenetV2_edge_475epoch_CS,3,DeeplabV3p,MobilenetV2 alpha0.3,CS,CS,475,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.865492148489159,0.9238303705749948,0.9220287361907179,0.9186960199462832,0.9198621713483984
CS_mobilenetV2_edge_475epoch_IDD,3,DeeplabV3p,MobilenetV2 alpha0.3,CS,IDD,475,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1016,0.6481857948742406,0.7778589471181333,0.8083693263699032,0.7619495572497027,0.7726942493792932
CS_mobilenetV2_edge_650epoch_IDD,3,DeeplabV3p,MobilenetV2 alpha0.3,CS,IDD,650,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.6939158370653155,0.8391166553075956,0.813565612664314,0.8116421574867079,0.8097720353293733
CS_mobilenetV2_edge_650epoch_BDD,3,DeeplabV3p,MobilenetV2 alpha0.3,CS,BDD,650,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,1000,0.5618429533534186,0.6790188000156256,0.7451307193563413,0.6760905262973508,0.6988313368459156
CS_mobilenetV2_edge_650epoch_CS,3,DeeplabV3p,MobilenetV2 alpha0.3,CS,CS,650,8,adam,dice_loss + categorical_crossentropy + jaccard_loss,500,0.8701452707133982,0.928871271526768,0.9205152308511704,0.9224279572886855,0.9206844360359272
IDD_mobilenetV2_edge_350epoch_IDD,3,DeeplabV3p,MobilenetV2 alpha1.0,IDD,IDD,350,16,adam+nadam(275 onwards),dice_loss + categorical_crossentropy + jaccard_loss,1016,0.8330403698430898,0.9004654653588191,0.89976952939406,0.8954906859483039,0.897102601519054
IDD_mobilenetV2_edge_350epoch_BDD,3,DeeplabV3p,MobilenetV2 alpha1.0,IDD,BDD,350,16,adam+nadam(275 onwards),dice_loss + categorical_crossentropy + jaccard_loss,1000,0.6834849398348728,0.7824800677543373,0.8280499442212234,0.7834999532063607,0.8006446599850281
IDD_mobilenetV2_edge_350epoch_CS,3,DeeplabV3p,MobilenetV2 alpha1.0,IDD,CS,350,16,adam+nadam(275 onwards),dice_loss + categorical_crossentropy + jaccard_loss,484,0.6845234225498247,0.8060611963175722,0.8110629055662981,0.7947927945756015,0.8009807553926371
IDD_mobilenetV2_edge_725epoch_IDD,3,DeeplabV3p,MobilenetV2 alpha1.0,IDD,IDD,725,16,"adam,nadam(275 onwards) + with_Reduce_LR(350 onwards)",dice_loss + categorical_crossentropy + jaccard_loss,1020,0.8441995575756309,0.9065825533866821,0.914220360774374,0.908199994584742,0.9112169425026196
IDD_mobilenetV2_edge_725epoch_BDD,3,DeeplabV3p,MobilenetV2 alpha1.0,IDD,BDD,725,16,"adam,nadam(275 onwards) + with_Reduce_LR(350 onwards)",dice_loss + categorical_crossentropy + jaccard_loss,1000,0.6350669955265694,0.7542417882877892,0.7956857484079454,0.7497195992378297,0.7670173201081265
IDD_mobilenetV2_edge_725epoch_CS,3,DeeplabV3p,MobilenetV2 alpha1.0,IDD,CS,725,16,"adam,nadam(275 onwards) + with_Reduce_LR(350 onwards)",dice_loss + categorical_crossentropy + jaccard_loss,500,0.7042013841151196,0.8208247683139068,0.8347377465263074,0.817251204142188,0.824993245301396
IDD_mobilenetV2_edge_75epoch_IDD,3,DeeplabV3p,MobilenetV2 alpha1.0,IDD,IDD,75,16,adam,dice_loss + categorical_crossentropy + jaccard_loss,1020,0.8428086803909902,0.9153516390994042,0.9037236982400491,0.90727751588479,0.9046844954912184
