Image_name,mIoU,Precision,Recall,F1-score(Dice-score),F2-score
Image 1,0.907306035161158,0.949343900062547,0.95020448261712,0.949773283878737,0.950031784735757
Image 2,0.93104509996002,0.974145048528112,0.954430377665545,0.963584573088512,0.957934005723053
Image 3,0.911407463182338,0.953402863895796,0.952908010127322,0.953145435360284,0.953000575664315
Image 4,0.933842912620629,0.966002607953095,0.965339010627872,0.965668815454333,0.965470454175751
Image 5,0.886399840398643,0.921624802639757,0.957161614292413,0.937376023723483,0.948698422041016
Image 6,0.921830665692775,0.947641979989539,0.97091549500294,0.958548879705983,0.965780242368663
Image 7,0.914214358230954,0.958186034574267,0.949898044563155,0.953959212438737,0.951502987778435
Image 8,0.863499035298814,0.94129338946712,0.914380579097359,0.926185926912764,0.918716648277334
Image 9,0.885350760537381,0.95273563325468,0.927079436803835,0.938693132141486,0.931442574473089
Image 10,0.861630782074712,0.946194249571125,0.902010807758568,0.922081602969951,0.909612245607299
Image 11,0.829929507516554,0.919617590921358,0.892390546529162,0.904543934133657,0.896918178583364
Image 12,0.87389710530267,0.951124184322632,0.909228755139003,0.927840881794986,0.916189661501246
Image 13,0.91049781156682,0.970773956506978,0.934219391479437,0.951083483715291,0.940661036098306
Image 14,0.843447101294527,0.969147219364808,0.8625718833325,0.903397261046099,0.876834163875713
Image 15,0.913900890429792,0.975941337534173,0.932871048594805,0.952801623677129,0.94049954438086
Image 16,0.793849200382452,0.94806835187032,0.828950675981868,0.87264276978656,0.843891141129295
Image 17,0.830443872810358,0.907637737466059,0.886467392485543,0.896552284465009,0.890388568903441
Image 18,0.737441069767979,0.855281588460701,0.777886445633521,0.807332455482355,0.788164088757749
Image 19,0.768294830332692,0.861544936904644,0.869891926321158,0.864047521663735,0.867160006599715
Image 20,0.764656171396988,0.802275546831747,0.867260230129219,0.828470667418845,0.849717598420917
Image 21,0.923643092343447,0.964314452957045,0.955439557146806,0.9596775893739,0.95708831922688
Image 22,0.830513769537461,0.919972403567763,0.892948694307204,0.903762350966145,0.896684683914647
Image 23,0.861346689871465,0.904347425932574,0.930126600624384,0.916658069836729,0.924589961488111
Image 24,0.875529250936719,0.950416496784125,0.915133565770264,0.931682730380146,0.921514945636235
Image 25,0.742668672831238,0.823645567668065,0.809656414709621,0.816237023540683,0.812196861488323
Image 26,0.790453908537194,0.899087969732597,0.838567264774795,0.864386139870038,0.848041018233459
Image 27,0.889876368068144,0.958623042975129,0.923559134946582,0.939449921161662,0.92956369304845
Image 28,0.844751984373876,0.92817044855621,0.886550557544341,0.90519461633107,0.893560528009085
Image 29,0.896034754244412,0.93530864558822,0.951399191192495,0.943027393346823,0.947969324187942
Image 30,0.872258815451986,0.923445562145282,0.938331554696218,0.930427564253687,0.93505583889514
Image 31,0.867191606490518,0.920970456133799,0.927587377488906,0.924114230140813,0.926157525028221
Image 32,0.819455232676681,0.894672565590299,0.895755131668184,0.895172939556319,0.89551246163468
Image 33,0.937997747021757,0.965869152725325,0.969546667873408,0.967668984662843,0.968786110116337
Image 34,0.8513584482283,0.945674252863073,0.892784364295461,0.91707414957877,0.90202601177295
Image 35,0.813576476225925,0.894047461131409,0.898442711089011,0.894580510048509,0.896505034416765
Image 36,0.834459217115833,0.925006521234005,0.875496946142659,0.897768230086675,0.88389820224626
Image 37,0.904824375103608,0.9504585838117,0.948053155365256,0.949248035610363,0.948529235833737
Image 38,0.868761432958265,0.915774863983684,0.940074335954572,0.927356593578058,0.934841174265435
Image 39,0.827249785068333,0.94069351246344,0.87285122071753,0.901739222776346,0.883400754597372
Image 40,0.840895388002435,0.937962433480437,0.879813561083552,0.905679453759821,0.889514695459945
Image 41,0.800319826828898,0.936169676185573,0.843192647912875,0.879224286898879,0.85574664138544
Image 42,0.890462289509892,0.944379040585516,0.938428907292228,0.94099852518347,0.939361151078111
Image 43,0.773008183664123,0.874492006981396,0.850255907548615,0.860923325639217,0.854185268153047
Image 44,0.946508970260521,0.971160963081194,0.973639210096371,0.972314372096719,0.973088690252807
Image 45,0.814250527735399,0.894226308658911,0.873512406604982,0.883313164715254,0.877309151236226
Image 46,0.886427103539965,0.936301561541181,0.93771146015418,0.936985863945684,0.937416259237457
Image 47,0.783992144107546,0.873719392212311,0.827494169517891,0.84767838886927,0.834994518706797
Image 48,0.933348064627017,0.958785127838781,0.970558631471266,0.964538680083783,0.968117679730008
Image 49,0.884372696517072,0.93029099583563,0.942201029049863,0.936078365452889,0.93971070427705
Image 50,0.892160222969458,0.946159307755121,0.938802591365479,0.942361081895571,0.940197549580367
Image 51,0.824795740981115,0.914234731992991,0.878357695091831,0.89484330201978,0.884641789630579
Image 52,0.81686332625047,0.937142813306106,0.873986014657327,0.897065344338342,0.881427354193024
Image 53,0.779049305422451,0.891600890355438,0.82320533074008,0.851899157544128,0.833665671478487
Image 54,0.872714948449658,0.938990847686954,0.920977362042663,0.929676426185588,0.924385561737078
Image 55,0.693002530534217,0.873598364101664,0.782136443877344,0.816376180210104,0.793476539089149
Image 56,0.883579647393812,0.940870105012918,0.928600508740473,0.934556369774917,0.930940851978686
Image 57,0.836026413435465,0.882217042527856,0.929495232340278,0.902863860257632,0.91799668916562
Image 58,0.841231812941556,0.894287517845486,0.922167841887307,0.907129826412645,0.915861756022531
Image 59,0.843686790294574,0.92498873169877,0.882646725419144,0.901852572221085,0.889921749202721
Image 60,0.777127843460759,0.805763548854501,0.909135659111456,0.844210903624504,0.878456871464653
Image 61,0.768762980824005,0.860826618563431,0.822377764697981,0.839640627642087,0.828882859628795
Image 62,0.784513783638182,0.938182919855589,0.827258603290618,0.868488694165523,0.841360238178162
Image 63,0.914137959386918,0.952157331247756,0.955983045851003,0.954038784835064,0.955197747665495
Image 64,0.913441998065447,0.952830910644209,0.955527827090319,0.954040716121718,0.954899069291103
Image 65,0.90173565326044,0.95113461844331,0.943358989595782,0.947158424849333,0.944857852472909
Image 66,0.744840737620098,0.87609747060266,0.796784617588957,0.826339816121906,0.806952568516904
Image 67,0.865365115802361,0.92621011506302,0.923078782775089,0.92435706625361,0.923522850250741
Image 68,0.853248838719594,0.925317160797892,0.907801180525482,0.916162619321906,0.911053027314897
Image 69,0.754482283640719,0.861462293964734,0.819631930883575,0.838089892872023,0.826501690957056
Image 70,0.892399351725509,0.960230044257487,0.9256038120692,0.941642743155301,0.931732807803408
Image 71,0.881638890514971,0.943752883937545,0.924391284308291,0.933674732549689,0.928014816076262
Image 72,0.880444174976819,0.934193128971523,0.933304505619303,0.933671569868065,0.933432916724508
Image 73,0.828090068457961,0.918552441219985,0.887669134210804,0.901561760543876,0.892869929872126
Image 74,0.828306050762919,0.896131920090181,0.891041877624227,0.893556065388847,0.892040267797481
Image 75,0.772106912111839,0.893613851089947,0.81922515973859,0.84835529775468,0.829461900208643
Image 76,0.745362797721802,0.858931791133316,0.820385621284145,0.83630775402931,0.826088349254654
Image 77,0.86657118082315,0.935410138912916,0.915816169026803,0.925082104508275,0.919401796429333
Image 78,0.892793884716516,0.955525850314195,0.931292625947025,0.942705530271117,0.935696307971013
Image 79,0.702032441168798,0.79733553395511,0.781760459663628,0.789276083825056,0.784704027196144
Image 80,0.539661752872066,0.829862800440229,0.646425538830677,0.679499420483011,0.653138324574262
Image 81,0.46321910199433,0.825311781756189,0.567334598310482,0.582450468000556,0.567117213211181
Image 82,0.777746516720016,0.851935638625949,0.866857343945606,0.858591219825919,0.863342802864943
Image 83,0.860948429686052,0.941654165130374,0.902385161162774,0.919940633030793,0.908969105101044
Image 84,0.753179875956923,0.818729638364096,0.858019041776038,0.834251387916016,0.847292421374637
Image 85,0.816819493349199,0.904694302512562,0.87896104938463,0.891280567787851,0.88376377139813
Image 86,0.722007866966964,0.871802427094851,0.814669010295234,0.835567117431661,0.821494929055667
Image 87,0.727286581198496,0.849218117958009,0.840910843919595,0.841141326028828,0.840151627678977
Image 88,0.91065444756174,0.953001552551408,0.952493194219721,0.952697682842349,0.952563150540856
Image 89,0.872249115319861,0.94757165474848,0.913373184093523,0.929391143816144,0.919537583520399
Image 90,0.901654953789916,0.955913463844352,0.94028419871635,0.947389781673743,0.942965709068581
Image 91,0.842237318896542,0.894975239909091,0.920975811258115,0.907025429229993,0.915145197878103
Image 92,0.78110650913126,0.880401601122851,0.886782626076299,0.876578980887489,0.880790918228435
Image 93,0.774156738448943,0.855755601180939,0.878983872662747,0.865551468373297,0.873144696670536
Image 94,0.946658208639671,0.969605033276427,0.975255626810521,0.972374198279885,0.974089496044763
Image 95,0.944841269803672,0.969057068973043,0.974238064360173,0.971579605789703,0.973158300346812
Image 96,0.93292139970554,0.968211971133182,0.961781228839773,0.964947200749959,0.96303585985419
Image 97,0.788002506455052,0.884595635736704,0.832544761293853,0.854837170038217,0.840745204558941
Image 98,0.834416868276069,0.872597031988315,0.933886868342138,0.898505108794194,0.918327080364009
Image 99,0.79343250317681,0.859811870437627,0.915763701668525,0.87893221526822,0.898309150375314
Image 100,0.821302463061865,0.897058050490315,0.884496288659371,0.890600930948195,0.886897589441575
Image 101,0.552524202842399,0.716780847818884,0.770001039701605,0.700096776800993,0.725888370642217
Image 102,0.883152033545488,0.950260770949657,0.92185110460867,0.93529882052164,0.927062027865906
Image 103,0.876915686775667,0.943904683524217,0.915353823456713,0.928702931876771,0.920491057127372
Image 104,0.805579000909435,0.860125936517113,0.881671809693895,0.870477290462761,0.877086596053762
Image 105,0.919750735517171,0.959029472833838,0.956511027741787,0.957761356727636,0.957009041054644
Image 106,0.73546439613765,0.767577549969201,0.825789793106896,0.790183967255414,0.809359367908419
Image 107,0.878942220876478,0.927346894541556,0.934710763496669,0.930934197042688,0.933177017679454
Image 108,0.826176790263668,0.882374618974262,0.903605622917609,0.892573546258523,0.899087042085017
Image 109,0.892091565423326,0.941099540656473,0.937815201405154,0.939432505540098,0.938456188913302
Image 110,0.857773664393733,0.954623625570943,0.885209378222177,0.914662083278234,0.895991706200904
Image 111,0.917699291614542,0.952107009604317,0.960287430799414,0.956081848201968,0.95857674819384
Image 112,0.767856388657487,0.841969775251744,0.846528741243432,0.844187384079408,0.845577136461888
Image 113,0.753324713729569,0.947140210173464,0.77157265463531,0.821403061446186,0.787357452683822
Image 114,0.895199689383442,0.955076997380054,0.933315426198211,0.943736514862259,0.937377245773086
Image 115,0.928675069436608,0.953985447439162,0.970929910183572,0.962068516966104,0.967286843773102
Image 116,0.775145997195462,0.843763948116461,0.89482399767375,0.862871941199676,0.880129453731806
Image 117,0.789661934964123,0.909737420789425,0.846954092261985,0.873178358699662,0.856402590193957
Image 118,0.870497118094552,0.931377616343598,0.929152307439414,0.929946756407648,0.929395265127848
Image 119,0.813076388322582,0.94165358781051,0.860514798856468,0.889297826298004,0.869909905381937
Image 120,0.93843953133219,0.960009454929386,0.975487269764257,0.96744471159705,0.972193814475623
Image 121,0.919198483828512,0.95535746608453,0.958017413685807,0.956673066890135,0.957476199150891
Image 122,0.915593160019566,0.951385731023987,0.959367702607518,0.955267503813864,0.957701162341328
Image 123,0.863900879318248,0.939320624592304,0.904002163578083,0.920439833476943,0.910314206328717
Image 124,0.932763589231555,0.968953134603832,0.960479408829749,0.964599321540992,0.96210002086315
Image 125,0.887917315518633,0.953674133497031,0.928472412763378,0.940128589355554,0.932915158543094
Image 126,0.894274794034218,0.927996986272671,0.960817976497839,0.943225669549577,0.953475777533642
Image 127,0.865481650545566,0.929121921776912,0.929772376754431,0.927423022755712,0.928320135420068
Image 128,0.951818551691128,0.97330299420569,0.976944948806822,0.975071513398736,0.976182854577577
Image 129,0.923751965338848,0.960663627088125,0.958747077234826,0.959619887537124,0.959075981778163
Image 130,0.933105123310974,0.963613448259619,0.965926233136047,0.964723696495398,0.965434142059748
Image 131,0.921040114900061,0.960583887703792,0.95712957223274,0.958760736186892,0.957758964971716
Image 132,0.814013463594346,0.911184389896457,0.8915473343645,0.897179876001644,0.892914835039041
Image 133,0.755482685581121,0.876278165696348,0.792196385544648,0.823454172343967,0.802986637246847
Image 134,0.921947914405129,0.968085552370073,0.9508956230427,0.958607936603124,0.953781367852644
Image 135,0.789010791634987,0.918803662737399,0.856253823002865,0.875198565267193,0.861453725110565
Image 136,0.940674383292337,0.971323455752596,0.966996202384398,0.9691027688987,0.967825189610957
Image 137,0.80802969732842,0.873263482108864,0.883111730958532,0.877951609873894,0.880988923450945
Image 138,0.574545858166525,0.928911626606995,0.636603265222323,0.641636766401202,0.635982602647317
Image 139,0.919112960963724,0.969830822426167,0.946550930961914,0.957584154432721,0.950824625901103
Image 140,0.944099669640389,0.968502835000908,0.974017689860436,0.971135908829188,0.972834380815893
Image 141,0.726267248856225,0.810407431858298,0.882804768281896,0.839020090441825,0.863248743769251
Image 142,0.789670509667544,0.853544271219439,0.87462336883807,0.863344007219641,0.869917096829703
Image 143,0.778745444217653,0.85990132558135,0.886303159907956,0.869571514089996,0.878707632581869
Image 144,0.858292988968146,0.931397491224217,0.904082040779086,0.916832506128982,0.908983879504836
Image 145,0.779160397209992,0.934293637768893,0.818244147635082,0.859651493061421,0.832252571104184
Image 146,0.926028493108783,0.960359733152713,0.962773925865676,0.96144986317772,0.962216353533452
Image 147,0.844268327392748,0.909278305373513,0.908527938960045,0.90888646493407,0.908667357699386
Image 148,0.787419030692421,0.909277062096149,0.829608789066387,0.860891190862345,0.840643222894926
