Image_name,mIoU,Precision,Recall,F1-score(Dice-score),F2-score
Image 1,0.8468380074882317,0.9167650645563926,0.9192177100706774,0.9160959578767321,0.9175296775307814
Image 2,0.6918225725549628,0.8339316004183197,0.826080267985021,0.8146526269362924,0.8183092010392934
Image 3,0.6818987552451029,0.8272510577294455,0.8034091909926463,0.8067426636706361,0.8029840933490734
Image 4,0.5575552111094221,0.7584447200273791,0.6926170694469881,0.700193855304409,0.6913271627898853
Image 5,0.6904817836257823,0.7796875352647127,0.8492100935900347,0.7958223047307764,0.821322932014636
Image 6,0.5887319209818501,0.7821364116421737,0.7186955630174494,0.7401226739324539,0.7249955790296778
Image 7,0.5123138290543149,0.7070296727415045,0.7646908889786858,0.6646770530461756,0.7051513198444446
Image 8,0.7154925422042555,0.8687484999111096,0.8362235794384039,0.830144941017525,0.8296810583286037
Image 9,0.7408586009278676,0.8576585436127598,0.8526789055961702,0.8497307790638685,0.850113089942683
Image 10,0.6770698281485026,0.8196658001351519,0.8100699463688183,0.8037418145032763,0.8051760042122919
Image 11,0.5259757531558054,0.7284585502868043,0.660689111651892,0.6742152262330245,0.662597875082202
Image 12,0.8417751777014911,0.9117476925329969,0.9171177941957503,0.9127252907623212,0.9149609218635836
Image 13,0.8438097523677551,0.912220061168692,0.9257596790530407,0.9146768815716465,0.9203086868249164
Image 14,0.6683213270937745,0.8192698470546865,0.8043668726658243,0.7997397869326072,0.8000302587989218
Image 15,0.7889278339714841,0.8702695879878751,0.8985400334041365,0.8794430986186347,0.8896217279676543
Image 16,0.6410138933886308,0.8209564330641402,0.7491984355750505,0.7747489217492366,0.7573064119064946
Image 17,0.7633389301974282,0.878852702898229,0.8676021353161906,0.8642478441405425,0.8643876122600359
Image 18,0.5813749637637103,0.7846958723834104,0.7391760561778948,0.7310479610154127,0.7307223367985177
Image 19,0.6417534013612366,0.82540416569835,0.7605813930864832,0.7780077869681326,0.7648212788446841
Image 20,0.6582472755652974,0.8032452251390954,0.8064824278099718,0.7886370556318542,0.7958735004378564
Image 21,0.5295178106391684,0.70088682879816,0.6772977059368666,0.6802034132072038,0.6766481067702016
Image 22,0.765224661602771,0.8463792707316699,0.9005388162465852,0.8630742351592096,0.8823665747922215
Image 23,0.6356449525398521,0.8347955806788163,0.7212142683692346,0.7612689898097992,0.7340276567487526
Image 24,0.7938548042826149,0.890144529985518,0.8717185870007796,0.8788247742444741,0.8740979718128075
Image 25,0.7383840573918183,0.871048255464908,0.829563436362811,0.8459979203869276,0.8352446502046647
Image 26,0.7527874290720068,0.8876067554081518,0.8422743517053514,0.8580798820747488,0.8471241451157642
Image 27,0.8565103756537539,0.9336771721009883,0.9179405640701271,0.9220954277382347,0.9188060449420979
Image 28,0.7502709121023875,0.8552884649709284,0.8885264075252691,0.854236160745481,0.8697317428515817
Image 29,0.3801078903057082,0.5932858471807699,0.5428669317590625,0.5028770359262965,0.5106593952846058
Image 30,0.6511816459762606,0.8236813448642568,0.7874886363870611,0.7875347308611644,0.7842083049175693
Image 31,0.7147981087863017,0.8752894741353522,0.790311666215855,0.820886913172053,0.8003049364245287
Image 32,0.6129835008885648,0.6910016603129132,0.813852313202926,0.705711217191657,0.7450401127875407
Image 33,0.8574762312208456,0.9302498678140871,0.9217890367749195,0.9228595804018065,0.921522013418023
Image 34,0.7375450761721197,0.839383702512437,0.875335807897268,0.8429822899614812,0.8585071516418487
Image 35,0.7311916114954014,0.8461897496458867,0.8547530218700198,0.8431492912709239,0.8484497334310889
Image 36,0.8273772418744813,0.885781434554946,0.9276723480135075,0.9023912483281208,0.9163670909616713
Image 37,0.7038685000910355,0.8888512596286894,0.7833917162645315,0.8198178403496801,0.794764237039239
Image 38,0.8407113218593346,0.9394706195683864,0.8971384653834402,0.9117588547903556,0.9016885831930804
Image 39,0.8944352049837822,0.9558708304259089,0.9351087191009997,0.943966732510226,0.9383151001859207
Image 40,0.808044081527988,0.8852854661508114,0.9086509081817523,0.8927793878064726,0.9012837797141007
Image 41,0.6570312433994135,0.8807627936934529,0.7571904146213261,0.7920802812843947,0.7656691986761817
Image 42,0.6811786322625842,0.8445820897737198,0.8275249873247223,0.8061710318718015,0.813562975303827
Image 43,0.5222359126297996,0.8165831563740946,0.6648932188698231,0.6797397914008695,0.658903711919277
Image 44,0.6255732591565749,0.7694047378856377,0.7448774860655499,0.7526063095273453,0.746958930142471
Image 45,0.6566734338069672,0.8226260818098893,0.8023891811015343,0.7911950459115551,0.7938568021313289
Image 46,0.7092298403136897,0.8304711781378016,0.8493387658200507,0.8265305618813783,0.8366639241004116
Image 47,0.648523538788249,0.767161403816719,0.842803411514228,0.7826001482589527,0.8117931996751381
Image 48,0.7468309473147398,0.8983995296030279,0.8276803526760158,0.8492119233206156,0.8336825647612504
Image 49,0.8127445949265582,0.9216641978159825,0.884004514109331,0.8962270064224294,0.8875060792044525
Image 50,0.8360171197985297,0.9018691550898549,0.9273005056201554,0.9095205215309244,0.9188708454127981
Image 51,0.7103422233961965,0.8507464251868596,0.8316942904275871,0.8305867386859882,0.8289466644832512
Image 52,0.6596154448645165,0.8221629418555615,0.7997024527678614,0.7931019538287907,0.793625196816898
Image 53,0.6692105717009639,0.8372629157560106,0.7944306568908225,0.8002599281746076,0.7938541336907995
Image 54,0.7906846228806192,0.8514673255275294,0.9292843667695924,0.8769960410137493,0.9040901850165258
Image 55,0.7800556303933782,0.8949383532765016,0.8791164622179092,0.8747871257028911,0.8749295753618274
Image 56,0.7967290608764933,0.8679262716566805,0.9127974123465962,0.8824356278481217,0.8983763237593955
Image 57,0.8389845849923828,0.924049544042782,0.907672795510598,0.9124377591174033,0.9087896031401895
Image 58,0.7262750827345733,0.8463314212054192,0.8574821098129037,0.8399831679797432,0.8470766945964362
Image 59,0.6286195537435065,0.7847895533019343,0.7878504569659784,0.7688395904707178,0.7754790163684273
Image 60,0.6389741727398109,0.7915617954176793,0.7715782361739487,0.7784270915121875,0.7735666362637987
Image 61,0.7869573309458514,0.9319968493036477,0.8511744848763386,0.875794988666915,0.8582697959133943
Image 62,0.7813918257117539,0.8582993329170555,0.912948426012112,0.8725871187923602,0.892785470917358
Image 63,0.6309100381462406,0.7936367001597547,0.8004793931503612,0.7723688940947158,0.7841038684816061
Image 64,0.7249320774983575,0.8656136084171008,0.8313737263417159,0.838746057561048,0.8323524571396484
Image 65,0.635696957588107,0.8274392839010153,0.7870621071877136,0.7735059722633784,0.7758368551988221
Image 66,0.8226953099840123,0.9168731763039197,0.8976487151177138,0.9023707463342011,0.898509780121723
Image 67,0.6464648188733767,0.8665073669997653,0.7425221394640505,0.7778500827400713,0.7515278279803784
Image 68,0.6816360283601345,0.8000739978458538,0.8271215496775365,0.7996038404152944,0.8122168560073907
Image 69,0.7250811279943498,0.8446436887837075,0.8495822151511877,0.8365452007081378,0.8419438229349391
Image 70,0.5961537520351119,0.7215374717567226,0.8235428998818991,0.7357383813588768,0.7735235995908455
Image 71,0.7185154029919083,0.8070012479168943,0.8746457190813377,0.8321576828000988,0.8549352389345038
Image 72,0.7188609821724778,0.8659546302941591,0.8238235383570341,0.8336110991204903,0.8255510046801843
Image 73,0.7860061344619215,0.8646324970354882,0.9150861271806955,0.8768337974411429,0.8961084867051223
Image 74,0.8589387029979582,0.915646348933208,0.9360684810411509,0.9237719761138861,0.9306457965267346
Image 75,0.6900481083928938,0.8320576445702117,0.8227665155443568,0.8163553671565728,0.8173037412514583
Image 76,0.8642475927746737,0.9316169021008651,0.9251677555435656,0.9269222678439707,0.9255297900817904
Image 77,0.639867388276933,0.779544609541627,0.82044855542605,0.7733817625621375,0.7943976743931503
Image 78,0.751181636765459,0.8495153822756323,0.875900906729208,0.8551396569169171,0.8656066866611508
Image 79,0.7986831550591194,0.9097287448179744,0.8776957098109305,0.8875864586442425,0.8804156595124555
