Image_name,mIoU,Precision,Recall,F1-score(Dice-score),F2-score
Image 1,0.9113759717497683,0.9459798827287281,0.9590081712264101,0.9522948623582264,0.9562730814424064
Image 2,0.9376002629707735,0.9741556932833891,0.9610496589162275,0.96726884940612,0.9634609034869305
Image 3,0.9201562317311054,0.9560671174635965,0.960363583087284,0.9581063777462485,0.9594342866262241
Image 4,0.9384898457131744,0.9664736857020862,0.9698086014256283,0.96810840634359,0.9691206475589503
Image 5,0.876713279312467,0.9077455356358741,0.96343809605175,0.9307099342963817,0.9489307173824159
Image 6,0.9320606111670363,0.9561414798901279,0.9727211899749117,0.9640744735304011,0.9691724305906094
Image 7,0.9133477507320018,0.9539780483534693,0.9524075920936245,0.9531838905907746,0.9527159726536412
Image 8,0.9015678720035624,0.954897278806428,0.9402532421117612,0.947226890842168,0.9429610245944446
Image 9,0.9057130373819513,0.9546870192310322,0.9465080266508425,0.9503207183791011,0.9479673540043351
Image 10,0.8908272509399965,0.9482845186987249,0.9325786521101135,0.9401827794385748,0.9355631335426766
Image 11,0.8496848053471613,0.9084339787707324,0.9299777375309235,0.9171512147145764,0.9243395059659214
Image 12,0.8720360079280981,0.9339222324191904,0.9198503808467491,0.9265354649387391,0.9224445317854614
Image 13,0.8998614663843357,0.9672712286261894,0.9253107665872232,0.9443292108912025,0.9325056421340506
Image 14,0.8881399884368718,0.9759157780083031,0.9059027004785042,0.9359268661830881,0.9169508878726753
Image 15,0.9447846575679275,0.9795196134342765,0.9625694386095388,0.9707973990988089,0.9658038692183988
Image 16,0.8156379996540203,0.9382255898047595,0.8530305815594463,0.8873017577553554,0.8652546437553656
Image 17,0.8450720591911498,0.9054335258433875,0.909649313365137,0.9075205582391429,0.9087927575127507
Image 18,0.737795481797797,0.8192592712703651,0.7942207510074338,0.8056323463765923,0.7985537700781874
Image 19,0.8012637992409788,0.8784065682570201,0.9011338024949113,0.887802275902639,0.8953120906809113
Image 20,0.7247456357716776,0.8046394282179031,0.7640989219377339,0.781161736541855,0.7703328794375315
Image 21,0.934434167493897,0.9671907170634243,0.9641421824851601,0.9656036825285268,0.9647118159887177
Image 22,0.9375731671278155,0.9649021284318913,0.9708101203832218,0.9677397615435336,0.9695533411953839
Image 23,0.8677762084374168,0.8970402177174464,0.951177325641679,0.9215140504316374,0.9385871964922649
Image 24,0.8877694809251179,0.9293703607427403,0.948703920522001,0.9386978501494422,0.9446170598098491
Image 25,0.7755774823950813,0.8148018722356624,0.9241779689271684,0.8512833726027543,0.8882877746532715
Image 26,0.8009472327975654,0.9020576769053069,0.8505536938724939,0.8729192427557292,0.8588327630355844
Image 27,0.8982330478370336,0.9599184345571784,0.9315020636282831,0.9446431476405835,0.9365244874867532
Image 28,0.8295245797312418,0.891106433218931,0.8953978598226334,0.8932138644291893,0.8945150095961596
Image 29,0.9077464925895858,0.9418383378659733,0.9593987562659944,0.950241375799609,0.9556421375117071
Image 30,0.885224221652679,0.9304357882953896,0.9454564328985464,0.9372679037812462,0.9420087146920957
Image 31,0.876835328972046,0.9262974005196628,0.9339241891736848,0.9300249754533887,0.9323433384978353
Image 32,0.8174427445798381,0.8849169538669551,0.9085172038233099,0.896130959810764,0.9034114696959804
Image 33,0.9505146154366216,0.9708849710170964,0.9781397838268462,0.9743933960749324,0.9766119890031185
Image 34,0.8519072997337803,0.9306999889203568,0.9051470243593215,0.9171049490135162,0.9097433272910219
Image 35,0.8384091122630578,0.9065170746034737,0.9151146942262883,0.9104822609596314,0.913179110724457
Image 36,0.8498737654166243,0.915680745293574,0.9040478545523994,0.9097440590572389,0.9062982786345454
Image 37,0.9139586992740513,0.9551436517505966,0.9536526951699941,0.9543951546470629,0.9539489564057916
Image 38,0.8913947273581454,0.9434900991920939,0.9390768209718899,0.9411017929896023,0.9398433194453745
Image 39,0.8286319749766089,0.934589087268961,0.8789040539198415,0.903412618809166,0.8880109936473713
Image 40,0.8296191833106145,0.9240127422836307,0.8727181081652079,0.8955666218572146,0.8812932346089558
Image 41,0.8363238310213269,0.9391911128933227,0.8768843910746545,0.9031902542863731,0.8864713259472116
Image 42,0.9262295188754127,0.9570890201982306,0.9647692852254316,0.9608232407575499,0.9631649085903469
Image 43,0.7896968091855495,0.8738888316878217,0.8667610462299629,0.8699799847698954,0.8679668670789714
Image 44,0.9563681082543253,0.9760222071643488,0.9792085990238011,0.9775680338918935,0.9785408896745569
Image 45,0.8574186232129098,0.9018850169958639,0.9315897146954709,0.9157065401024869,0.9249637629815052
Image 46,0.8969040229128797,0.9388889511196105,0.9480791726217017,0.9433650776779688,0.9461640753689496
Image 47,0.8147080459991277,0.8942352186547026,0.8619087288779474,0.8767206774666451,0.8675481189348971
Image 48,0.9242956554707894,0.9443911516116263,0.9761670869609311,0.95928748554625,0.9691558649562068
Image 49,0.8807214935929086,0.9221384122586276,0.9473711395047079,0.9339772163003784,0.9418168680460234
Image 50,0.899030374547093,0.9492859514291897,0.943468612761372,0.9463259138339014,0.9445992958405126
Image 51,0.8358413464725665,0.9074624489159344,0.8982918784181025,0.9027727195852862,0.9000595709243814
Image 52,0.8052571549478852,0.9345858519013989,0.8611061610539602,0.8870002317661682,0.8693790713621073
Image 53,0.7859357004390586,0.8956227810894551,0.8291262476820166,0.8568099182362588,0.8391794979044085
Image 54,0.882976480132449,0.937686466951208,0.9329427964601705,0.9352782458398191,0.933868387236978
Image 55,0.7204719940451371,0.8874108909666242,0.7990581480403334,0.834496688631929,0.8114262918922819
Image 56,0.860382786068269,0.8989525853584811,0.9449669471183136,0.9190921595591082,0.9338104833757049
Image 57,0.83227853567606,0.87422221440573,0.9338518527948391,0.8993324285984433,0.9186517093781595
Image 58,0.8498642599188176,0.8981376593101311,0.930124753279565,0.9128171313442784,0.922852513818381
Image 59,0.8315036725334352,0.8754925620596441,0.9119788169847366,0.8922550304373692,0.9036871867287118
Image 60,0.7762995422160982,0.8033861467687307,0.906911931630274,0.8414412511084567,0.8757914157261318
Image 61,0.7901527560837606,0.8807164074183191,0.8426633138236485,0.8599484089651206,0.849216154661692
Image 62,0.8056431894384198,0.8997716032873555,0.8665077355646246,0.8814182637520452,0.8721093486627115
Image 63,0.9106731866006315,0.9439564339080143,0.9614944642423525,0.9523817118612369,0.9577648317154988
Image 64,0.9052101745187212,0.9472069663096985,0.9515989270749218,0.9492396164915501,0.9506151422315722
Image 65,0.9029027522118248,0.9430041739640772,0.9529435524363837,0.9478221293185501,0.9508572994205932
Image 66,0.7768682674737312,0.8848836895258851,0.8337032848712779,0.8548804654524548,0.8413315921652447
Image 67,0.8584077304285117,0.9005599766106293,0.9403366532792073,0.9187699083268882,0.9312544643007495
Image 68,0.8574500146163414,0.9112906802672751,0.925719947084902,0.9181124384938893,0.9225778583410497
Image 69,0.7819183566987654,0.8625718397871545,0.8610137002657478,0.8616336295299782,0.8612238951818695
Image 70,0.9150162738460406,0.9570179020245297,0.9503164402469423,0.9536226502150256,0.9516284403863478
Image 71,0.8835654707258994,0.9310776993727689,0.9384026871382575,0.9346841734069864,0.9369016014195618
Image 72,0.8961088744415914,0.946088333807468,0.9411502542800197,0.9435328200493275,0.9420826310052369
Image 73,0.8594854884296531,0.9204176002740834,0.9224748132548947,0.9211349682016038,0.9218650656633328
Image 74,0.8246597853272667,0.8741712020873141,0.9108024055018471,0.8907822685244423,0.902329674468009
Image 75,0.8215540916212931,0.8806501034072105,0.9004566343614949,0.8899496369424283,0.8960972668308641
Image 76,0.7839380932609642,0.8698726478921004,0.8562827719531825,0.8627029068425256,0.858766308806595
Image 77,0.8587335156621224,0.9061006950525173,0.9374398268750807,0.9200828484683187,0.9300504304623781
Image 78,0.9160428213635446,0.961689624857021,0.9495620428456782,0.9553469228417653,0.9518119928058253
Image 79,0.7448982068611159,0.8004208125075681,0.881878450150532,0.8315495968558765,0.8585895202903862
