Image_name,mIoU,Precision,Recall,F1-score(Dice-score),F2-score
Image 1,0.7749573351864476,0.8446500712365083,0.8714938762838713,0.8550045817552858,0.8639886870689619
Image 2,0.7536094287221412,0.8125637790564808,0.8149079771857222,0.8128377775878286,0.8138796066756055
Image 3,0.7665655023818643,0.8931914999637023,0.8337779479665317,0.8524657922190334,0.8396008398018765
Image 4,0.6541663202312844,0.7461749488699658,0.767112672181144,0.7447093771577646,0.7540567461736748
Image 5,0.5823259691549033,0.679704803272599,0.6929176657934997,0.6695596519463036,0.6798318197222106
Image 6,0.7246628005970843,0.812907965959939,0.7959053182128134,0.8016925850215605,0.797740935930433
Image 7,0.775354380381547,0.8595869150964388,0.8646353957414684,0.8611787965191595,0.8630289894325198
Image 8,0.6363742251544433,0.7285636518387102,0.776103873087813,0.7355315745551636,0.7533349696179397
Image 9,0.697864549936959,0.7756437240629567,0.8218679306494453,0.7940524200871998,0.8092568538297386
Image 10,0.7250810753451837,0.818234135720588,0.8160774913621696,0.8169465695997282,0.8163734867842409
Image 11,0.6337185150548322,0.7153247197105275,0.8505392135123422,0.7336690221245511,0.7715709953320337
Image 12,0.5570238985820136,0.6487399612991516,0.7197129437216594,0.6524774920733611,0.6735847553181877
Image 13,0.7321732683130231,0.8607157624104864,0.7856948652900841,0.7993686008282739,0.7892238182021107
Image 14,0.6312690736775447,0.7836419272637223,0.7522914726862407,0.7367108875452704,0.7370345675977842
Image 15,0.6720537002647855,0.7748042021379922,0.7819472676429651,0.7589658153914265,0.7671019703126527
Image 16,0.628551330664241,0.7214672103151261,0.7741609884601482,0.7322287156363922,0.7503642587710029
Image 17,0.6215581599264663,0.769568963061652,0.7023100616428288,0.7304161632077031,0.7125475092223241
Image 18,0.6331042598665526,0.7680812320169984,0.7362517989758516,0.7449419879199144,0.7382739637126987
Image 19,0.6592482588423069,0.7584594521064634,0.8062077679794264,0.7706107749359047,0.7880378301372251
Image 20,0.6888223398084936,0.784302067750706,0.7783307311154631,0.777386722698874,0.7771371694062571
Image 21,0.7987692772232349,0.8649929264127213,0.8686139937841947,0.8666587243577546,0.8677966754861414
Image 22,0.7168261134600445,0.857078085996186,0.7803803620614618,0.809837958245734,0.7907176138408675
Image 23,0.7275323308112569,0.8161367273639535,0.8327041909584241,0.8230304613624337,0.828459732655665
Image 24,0.6891986482585082,0.8230521547227676,0.7663178670188944,0.7909087534200739,0.775391415912371
Image 25,0.759390373983708,0.873788716945926,0.7934070685488326,0.8180466270663045,0.8015580163410103
Image 26,0.7300306958201366,0.8276398125964995,0.8408252405745096,0.8339098926545846,0.8379780938651316
Image 27,0.7304721994862541,0.8499291689813682,0.8038980085279788,0.8249220777655267,0.8118759839005966
Image 28,0.6681111984917908,0.7760075612044078,0.7738701734785166,0.7704680307608478,0.7713770869023213
Image 29,0.6812385614191566,0.7694532231823487,0.8597558066549512,0.7756883096728451,0.8047465289588706
Image 30,0.6698399403347909,0.8544881157373005,0.7300168705856313,0.7696665643818463,0.7426876468586014
Image 31,0.7425094665627222,0.8220065709666622,0.8332442031691899,0.8272672071617053,0.8307646802741484
Image 32,0.6570408501610123,0.755614855892665,0.8081518683582646,0.7772123479779316,0.7945630168975146
Image 33,0.7857277755552257,0.8956906549262078,0.8360202236440827,0.8612001587008276,0.845215977091307
Image 34,0.7308665305552761,0.8432437903407131,0.8145948577208226,0.8266886699425747,0.8189417085061412
Image 35,0.7063798095928877,0.7792245911516943,0.8219650258754128,0.7983105797458382,0.8118661103897169
Image 36,0.6748484360035178,0.7879278948115507,0.7872108511738446,0.7734705808729687,0.7779694220785455
Image 37,0.7029357064281776,0.8025763428977133,0.8045500635287446,0.8031703051402188,0.8039023028156553
Image 38,0.6453688231991819,0.8358148352212007,0.7393398419720875,0.7477718979133723,0.739595569981175
Image 39,0.6158511529860518,0.7069493259623102,0.7206376656529739,0.7018991258246932,0.706542637385511
Image 40,0.600338161945573,0.6536907940365644,0.8210961137930364,0.6937746428592794,0.7413211278408768
Image 41,0.5570375726385373,0.661330956228193,0.6680136247763875,0.6448578758466048,0.6454026287008326
Image 42,0.8095988326381077,0.8577303813855618,0.90742225938033,0.8788514679793714,0.8948305486102106
Image 43,0.6762607661259953,0.8176255226127627,0.7597429192732463,0.7857273590833966,0.7695290360272933
Image 44,0.7585668009469062,0.844346869380806,0.834742082971417,0.8374804558112594,0.8354139375375154
Image 45,0.7575943754129952,0.8642459617372559,0.8329019621621555,0.8462849001427466,0.8378006911589713
Image 46,0.7192064550697912,0.9003381879824282,0.7720396247185911,0.7996073970632753,0.780229425393147
Image 47,0.7065805316220028,0.8044030351205711,0.7911931025612775,0.7966602103572996,0.7931138392690233
Image 48,0.6221921265593234,0.7181235519126956,0.6893984418563951,0.6968460176430937,0.6912439088360341
Image 49,0.7141078232136826,0.8401468565428398,0.7829803254604218,0.8067673075236363,0.7915789248099581
Image 50,0.7580861290163413,0.8260689068886846,0.8790298428438763,0.849348787770799,0.8662475458732839
Image 51,0.7128819741415243,0.8335495190021824,0.8090284988950106,0.8146062235761754,0.8101004821699729
