Image_name,mIoU,Precision,Recall,F1-score(Dice-score),F2-score
Image 1,0.6928480897478643,0.7742311579569563,0.8682985451261143,0.7894466243814917,0.823535031265236
Image 2,0.48230999068935293,0.7148869596628988,0.717736879519766,0.6328304617939753,0.6463230277842652
Image 3,0.3851488211531857,0.5612337206885143,0.823168683858889,0.5023530660101346,0.5540944093670567
Image 4,0.5502605546041899,0.7404548370076319,0.7572674947681338,0.7074721253200021,0.7290247755120904
Image 5,0.32431619460236477,0.50861238416255,0.388718786067398,0.4013680393321331,0.3894942012964137
Image 6,0.26036575384440624,0.4317473544596946,0.4699638134198888,0.40964882409942704,0.43471497621960487
Image 7,0.6030682193690523,0.7807223333958193,0.6949237154985815,0.7257705819208918,0.705162085356784
Image 8,0.5100784333300296,0.8053936149477005,0.6126009579789836,0.6508140905798533,0.622008423798346
Image 9,0.4321516985798266,0.8993956267524422,0.5200572561743195,0.5273974110097043,0.5171012853739424
Image 10,0.4586786087920997,0.7533877608546985,0.6881885693425872,0.5973860567152772,0.6187817373134857
Image 11,0.31185935313032903,0.5314566471256159,0.612400293122386,0.41056681353831864,0.4428537562679696
Image 12,0.3918157066572656,0.5530802029994923,0.8046316926542602,0.5578295047064488,0.6546695666063984
Image 13,0.768775344286957,0.8293944966847419,0.9129384943462311,0.8648778716196969,0.8919515586342248
Image 14,0.5656017398462752,0.917468279203898,0.6357255281663923,0.6937902257526682,0.6510220867412465
Image 15,0.46169866752724414,0.6530937280915258,0.7039170729565404,0.6256794025472493,0.6504962623802347
Image 16,0.754492840558484,0.8501820414790854,0.8808111606965885,0.8570908430063836,0.8688986264506915
Image 17,0.7139923353420476,0.9309946914082741,0.7829504082522422,0.8243741948667794,0.7943617803886964
Image 18,0.5046858453282624,0.6348679641830752,0.765664815347478,0.6120268309079303,0.6425896837874224
Image 19,0.5554655987272484,0.6561410329426492,0.6574103099744595,0.6519872433836338,0.6543054514814212
Image 20,0.744231909379291,0.8079195196003702,0.9096817722730731,0.8426146420974531,0.8774257049824348
Image 21,0.6928480897478643,0.7742311579569563,0.8682985451261143,0.7894466243814917,0.823535031265236
Image 22,0.48230999068935293,0.7148869596628988,0.717736879519766,0.6328304617939753,0.6463230277842652
Image 23,0.3851488211531857,0.5612337206885143,0.823168683858889,0.5023530660101346,0.5540944093670567
Image 24,0.5502605546041899,0.7404548370076319,0.7572674947681338,0.7074721253200021,0.7290247755120904
Image 25,0.32431619460236477,0.50861238416255,0.388718786067398,0.4013680393321331,0.3894942012964137
Image 26,0.26036575384440624,0.4317473544596946,0.4699638134198888,0.40964882409942704,0.43471497621960487
Image 27,0.6030682193690523,0.7807223333958193,0.6949237154985815,0.7257705819208918,0.705162085356784
Image 28,0.5100784333300296,0.8053936149477005,0.6126009579789836,0.6508140905798533,0.622008423798346
Image 29,0.4321516985798266,0.8993956267524422,0.5200572561743195,0.5273974110097043,0.5171012853739424
Image 30,0.4586786087920997,0.7533877608546985,0.6881885693425872,0.5973860567152772,0.6187817373134857
Image 31,0.31185935313032903,0.5314566471256159,0.612400293122386,0.41056681353831864,0.4428537562679696
Image 32,0.3918157066572656,0.5530802029994923,0.8046316926542602,0.5578295047064488,0.6546695666063984
Image 33,0.768775344286957,0.8293944966847419,0.9129384943462311,0.8648778716196969,0.8919515586342248
Image 34,0.5656017398462752,0.917468279203898,0.6357255281663923,0.6937902257526682,0.6510220867412465
Image 35,0.46169866752724414,0.6530937280915258,0.7039170729565404,0.6256794025472493,0.6504962623802347
Image 36,0.754492840558484,0.8501820414790854,0.8808111606965885,0.8570908430063836,0.8688986264506915
Image 37,0.7139923353420476,0.9309946914082741,0.7829504082522422,0.8243741948667794,0.7943617803886964
Image 38,0.5046858453282624,0.6348679641830752,0.765664815347478,0.6120268309079303,0.6425896837874224
Image 39,0.5554655987272484,0.6561410329426492,0.6574103099744595,0.6519872433836338,0.6543054514814212
Image 40,0.744231909379291,0.8079195196003702,0.9096817722730731,0.8426146420974531,0.8774257049824348
Image 41,0.6928480897478643,0.7742311579569563,0.8682985451261143,0.7894466243814917,0.823535031265236
Image 42,0.48230999068935293,0.7148869596628988,0.717736879519766,0.6328304617939753,0.6463230277842652
Image 43,0.3851488211531857,0.5612337206885143,0.823168683858889,0.5023530660101346,0.5540944093670567
Image 44,0.5502605546041899,0.7404548370076319,0.7572674947681338,0.7074721253200021,0.7290247755120904
Image 45,0.32431619460236477,0.50861238416255,0.388718786067398,0.4013680393321331,0.3894942012964137
Image 46,0.26036575384440624,0.4317473544596946,0.4699638134198888,0.40964882409942704,0.43471497621960487
Image 47,0.6030682193690523,0.7807223333958193,0.6949237154985815,0.7257705819208918,0.705162085356784
Image 48,0.5100784333300296,0.8053936149477005,0.6126009579789836,0.6508140905798533,0.622008423798346
Image 49,0.4321516985798266,0.8993956267524422,0.5200572561743195,0.5273974110097043,0.5171012853739424
Image 50,0.4586786087920997,0.7533877608546985,0.6881885693425872,0.5973860567152772,0.6187817373134857
Image 51,0.31185935313032903,0.5314566471256159,0.612400293122386,0.41056681353831864,0.4428537562679696
Image 52,0.3918157066572656,0.5530802029994923,0.8046316926542602,0.5578295047064488,0.6546695666063984
Image 53,0.768775344286957,0.8293944966847419,0.9129384943462311,0.8648778716196969,0.8919515586342248
Image 54,0.5656017398462752,0.917468279203898,0.6357255281663923,0.6937902257526682,0.6510220867412465
Image 55,0.46169866752724414,0.6530937280915258,0.7039170729565404,0.6256794025472493,0.6504962623802347
Image 56,0.754492840558484,0.8501820414790854,0.8808111606965885,0.8570908430063836,0.8688986264506915
Image 57,0.7139923353420476,0.9309946914082741,0.7829504082522422,0.8243741948667794,0.7943617803886964
Image 58,0.5046858453282624,0.6348679641830752,0.765664815347478,0.6120268309079303,0.6425896837874224
Image 59,0.5554655987272484,0.6561410329426492,0.6574103099744595,0.6519872433836338,0.6543054514814212
Image 60,0.744231909379291,0.8079195196003702,0.9096817722730731,0.8426146420974531,0.8774257049824348
Image 61,0.6928480897478643,0.7742311579569563,0.8682985451261143,0.7894466243814917,0.823535031265236
Image 62,0.48230999068935293,0.7148869596628988,0.717736879519766,0.6328304617939753,0.6463230277842652
Image 63,0.3851488211531857,0.5612337206885143,0.823168683858889,0.5023530660101346,0.5540944093670567
Image 64,0.5502605546041899,0.7404548370076319,0.7572674947681338,0.7074721253200021,0.7290247755120904
Image 65,0.32431619460236477,0.50861238416255,0.388718786067398,0.4013680393321331,0.3894942012964137
Image 66,0.26036575384440624,0.4317473544596946,0.4699638134198888,0.40964882409942704,0.43471497621960487
Image 67,0.6030682193690523,0.7807223333958193,0.6949237154985815,0.7257705819208918,0.705162085356784
Image 68,0.5100784333300296,0.8053936149477005,0.6126009579789836,0.6508140905798533,0.622008423798346
Image 69,0.4321516985798266,0.8993956267524422,0.5200572561743195,0.5273974110097043,0.5171012853739424
Image 70,0.4586786087920997,0.7533877608546985,0.6881885693425872,0.5973860567152772,0.6187817373134857
Image 71,0.31185935313032903,0.5314566471256159,0.612400293122386,0.41056681353831864,0.4428537562679696
Image 72,0.3918157066572656,0.5530802029994923,0.8046316926542602,0.5578295047064488,0.6546695666063984
Image 73,0.768775344286957,0.8293944966847419,0.9129384943462311,0.8648778716196969,0.8919515586342248
Image 74,0.5656017398462752,0.917468279203898,0.6357255281663923,0.6937902257526682,0.6510220867412465
Image 75,0.46169866752724414,0.6530937280915258,0.7039170729565404,0.6256794025472493,0.6504962623802347
Image 76,0.754492840558484,0.8501820414790854,0.8808111606965885,0.8570908430063836,0.8688986264506915
Image 77,0.7139923353420476,0.9309946914082741,0.7829504082522422,0.8243741948667794,0.7943617803886964
Image 78,0.5046858453282624,0.6348679641830752,0.765664815347478,0.6120268309079303,0.6425896837874224
Image 79,0.5554655987272484,0.6561410329426492,0.6574103099744595,0.6519872433836338,0.6543054514814212
Image 80,0.744231909379291,0.8079195196003702,0.9096817722730731,0.8426146420974531,0.8774257049824348
Image 81,0.6928480897478643,0.7742311579569563,0.8682985451261143,0.7894466243814917,0.823535031265236
Image 82,0.48230999068935293,0.7148869596628988,0.717736879519766,0.6328304617939753,0.6463230277842652
Image 83,0.3851488211531857,0.5612337206885143,0.823168683858889,0.5023530660101346,0.5540944093670567
Image 84,0.5502605546041899,0.7404548370076319,0.7572674947681338,0.7074721253200021,0.7290247755120904
Image 85,0.32431619460236477,0.50861238416255,0.388718786067398,0.4013680393321331,0.3894942012964137
Image 86,0.26036575384440624,0.4317473544596946,0.4699638134198888,0.40964882409942704,0.43471497621960487
Image 87,0.6030682193690523,0.7807223333958193,0.6949237154985815,0.7257705819208918,0.705162085356784
Image 88,0.5100784333300296,0.8053936149477005,0.6126009579789836,0.6508140905798533,0.622008423798346
Image 89,0.4321516985798266,0.8993956267524422,0.5200572561743195,0.5273974110097043,0.5171012853739424
Image 90,0.4586786087920997,0.7533877608546985,0.6881885693425872,0.5973860567152772,0.6187817373134857
Image 91,0.31185935313032903,0.5314566471256159,0.612400293122386,0.41056681353831864,0.4428537562679696
Image 92,0.3918157066572656,0.5530802029994923,0.8046316926542602,0.5578295047064488,0.6546695666063984
Image 93,0.768775344286957,0.8293944966847419,0.9129384943462311,0.8648778716196969,0.8919515586342248
Image 94,0.5656017398462752,0.917468279203898,0.6357255281663923,0.6937902257526682,0.6510220867412465
Image 95,0.46169866752724414,0.6530937280915258,0.7039170729565404,0.6256794025472493,0.6504962623802347
Image 96,0.754492840558484,0.8501820414790854,0.8808111606965885,0.8570908430063836,0.8688986264506915
Image 97,0.7139923353420476,0.9309946914082741,0.7829504082522422,0.8243741948667794,0.7943617803886964
Image 98,0.5046858453282624,0.6348679641830752,0.765664815347478,0.6120268309079303,0.6425896837874224
Image 99,0.5554655987272484,0.6561410329426492,0.6574103099744595,0.6519872433836338,0.6543054514814212
Image 100,0.744231909379291,0.8079195196003702,0.9096817722730731,0.8426146420974531,0.8774257049824348
Image 101,0.6928480897478643,0.7742311579569563,0.8682985451261143,0.7894466243814917,0.823535031265236
Image 102,0.48230999068935293,0.7148869596628988,0.717736879519766,0.6328304617939753,0.6463230277842652
Image 103,0.3851488211531857,0.5612337206885143,0.823168683858889,0.5023530660101346,0.5540944093670567
Image 104,0.5502605546041899,0.7404548370076319,0.7572674947681338,0.7074721253200021,0.7290247755120904
Image 105,0.32431619460236477,0.50861238416255,0.388718786067398,0.4013680393321331,0.3894942012964137
Image 106,0.26036575384440624,0.4317473544596946,0.4699638134198888,0.40964882409942704,0.43471497621960487
Image 107,0.6030682193690523,0.7807223333958193,0.6949237154985815,0.7257705819208918,0.705162085356784
Image 108,0.5100784333300296,0.8053936149477005,0.6126009579789836,0.6508140905798533,0.622008423798346
Image 109,0.4321516985798266,0.8993956267524422,0.5200572561743195,0.5273974110097043,0.5171012853739424
Image 110,0.4586786087920997,0.7533877608546985,0.6881885693425872,0.5973860567152772,0.6187817373134857
Image 111,0.31185935313032903,0.5314566471256159,0.612400293122386,0.41056681353831864,0.4428537562679696
Image 112,0.3918157066572656,0.5530802029994923,0.8046316926542602,0.5578295047064488,0.6546695666063984
Image 113,0.768775344286957,0.8293944966847419,0.9129384943462311,0.8648778716196969,0.8919515586342248
Image 114,0.5656017398462752,0.917468279203898,0.6357255281663923,0.6937902257526682,0.6510220867412465
Image 115,0.46169866752724414,0.6530937280915258,0.7039170729565404,0.6256794025472493,0.6504962623802347
Image 116,0.754492840558484,0.8501820414790854,0.8808111606965885,0.8570908430063836,0.8688986264506915
Image 117,0.7139923353420476,0.9309946914082741,0.7829504082522422,0.8243741948667794,0.7943617803886964
Image 118,0.5046858453282624,0.6348679641830752,0.765664815347478,0.6120268309079303,0.6425896837874224
Image 119,0.5554655987272484,0.6561410329426492,0.6574103099744595,0.6519872433836338,0.6543054514814212
Image 120,0.744231909379291,0.8079195196003702,0.9096817722730731,0.8426146420974531,0.8774257049824348
Image 121,0.6928480897478643,0.7742311579569563,0.8682985451261143,0.7894466243814917,0.823535031265236
Image 122,0.48230999068935293,0.7148869596628988,0.717736879519766,0.6328304617939753,0.6463230277842652
Image 123,0.3851488211531857,0.5612337206885143,0.823168683858889,0.5023530660101346,0.5540944093670567
Image 124,0.5502605546041899,0.7404548370076319,0.7572674947681338,0.7074721253200021,0.7290247755120904
Image 125,0.32431619460236477,0.50861238416255,0.388718786067398,0.4013680393321331,0.3894942012964137
Image 126,0.26036575384440624,0.4317473544596946,0.4699638134198888,0.40964882409942704,0.43471497621960487
Image 127,0.6030682193690523,0.7807223333958193,0.6949237154985815,0.7257705819208918,0.705162085356784
Image 128,0.5100784333300296,0.8053936149477005,0.6126009579789836,0.6508140905798533,0.622008423798346
Image 129,0.4321516985798266,0.8993956267524422,0.5200572561743195,0.5273974110097043,0.5171012853739424
Image 130,0.4586786087920997,0.7533877608546985,0.6881885693425872,0.5973860567152772,0.6187817373134857
Image 131,0.31185935313032903,0.5314566471256159,0.612400293122386,0.41056681353831864,0.4428537562679696
Image 132,0.3918157066572656,0.5530802029994923,0.8046316926542602,0.5578295047064488,0.6546695666063984
Image 133,0.768775344286957,0.8293944966847419,0.9129384943462311,0.8648778716196969,0.8919515586342248
Image 134,0.5656017398462752,0.917468279203898,0.6357255281663923,0.6937902257526682,0.6510220867412465
Image 135,0.46169866752724414,0.6530937280915258,0.7039170729565404,0.6256794025472493,0.6504962623802347
Image 136,0.754492840558484,0.8501820414790854,0.8808111606965885,0.8570908430063836,0.8688986264506915
Image 137,0.7139923353420476,0.9309946914082741,0.7829504082522422,0.8243741948667794,0.7943617803886964
Image 138,0.5046858453282624,0.6348679641830752,0.765664815347478,0.6120268309079303,0.6425896837874224
Image 139,0.5554655987272484,0.6561410329426492,0.6574103099744595,0.6519872433836338,0.6543054514814212
Image 140,0.744231909379291,0.8079195196003702,0.9096817722730731,0.8426146420974531,0.8774257049824348
Image 141,0.6928480897478643,0.7742311579569563,0.8682985451261143,0.7894466243814917,0.823535031265236
Image 142,0.48230999068935293,0.7148869596628988,0.717736879519766,0.6328304617939753,0.6463230277842652
Image 143,0.3851488211531857,0.5612337206885143,0.823168683858889,0.5023530660101346,0.5540944093670567
Image 144,0.5502605546041899,0.7404548370076319,0.7572674947681338,0.7074721253200021,0.7290247755120904
Image 145,0.32431619460236477,0.50861238416255,0.388718786067398,0.4013680393321331,0.3894942012964137
Image 146,0.26036575384440624,0.4317473544596946,0.4699638134198888,0.40964882409942704,0.43471497621960487
Image 147,0.6030682193690523,0.7807223333958193,0.6949237154985815,0.7257705819208918,0.705162085356784
