Image_name,mIoU,Precision,Recall,F1-score(Dice-score),F2-score
Image 1,0.5987543426702173,0.6996175315365404,0.8671811458018435,0.7349343205856873,0.793082804145925
Image 2,0.7559121020520626,0.8415779023142883,0.9008994733663264,0.8576939133670969,0.8799172078265568
Image 3,0.7404835503068137,0.83125499418919,0.8976552281048926,0.8491912183726705,0.8741492685691582
Image 4,0.753155527108559,0.8399433671046003,0.89285541581877,0.8551678541795916,0.8745882315990136
Image 5,0.604103632309851,0.7335484548549868,0.8327680981988492,0.7309060805369958,0.7713492889896051
Image 6,0.612186698728467,0.7495328604898437,0.843442939446695,0.7387668312580417,0.7748798471309414
Image 7,0.649741530752271,0.7516347978394918,0.8539043591733493,0.7686616326246423,0.8063155522138966
Image 8,0.681427883286811,0.780934566284513,0.8552785360151122,0.7983898178060302,0.8259986555280964
Image 9,0.7489123993650715,0.8382919420279613,0.882727673773482,0.8537098842929725,0.86936873547982
Image 10,0.5715944399396072,0.6665402049756769,0.689275306104837,0.6755880433441929,0.6831708830188501
Image 11,0.452504013193228,0.6491375470481561,0.5912793759962206,0.546268978424833,0.5179102180940255
Image 12,0.684802730172915,0.7738822790912967,0.8446930258751095,0.8005726873312936,0.8246622186886725
Image 13,0.6472794345633435,0.7469306379600281,0.8232364442302155,0.7721868213106987,0.7989742419260465
Image 14,0.64580475200051,0.7217400998649012,0.8140602426539153,0.750255139921555,0.78191712294144
Image 15,0.7074461228343223,0.7645361319089844,0.9301813477081594,0.8119283452922416,0.8686259886249315
Image 16,0.5631408178552888,0.6753513780916839,0.7423566876146833,0.6586050738521668,0.6786507618364296
Image 17,0.5657086189573707,0.6779444880525612,0.7709325924798215,0.6806896789069636,0.7130476937866116
Image 18,0.5459197161700572,0.6200231206310475,0.6600427598514537,0.6270058445516073,0.640236615888422
Image 19,0.5927886101211948,0.6764876692723608,0.768588670297968,0.6950508672947874,0.7260576575281233
Image 20,0.5029554800428241,0.60617792431999,0.5584514382966489,0.573003232366972,0.5613099910189495
Image 21,0.5987543426702173,0.6996175315365404,0.8671811458018435,0.7349343205856873,0.793082804145925
Image 22,0.7559121020520626,0.8415779023142883,0.9008994733663264,0.8576939133670969,0.8799172078265568
Image 23,0.7404835503068137,0.83125499418919,0.8976552281048926,0.8491912183726705,0.8741492685691582
Image 24,0.753155527108559,0.8399433671046003,0.89285541581877,0.8551678541795916,0.8745882315990136
Image 25,0.604103632309851,0.7335484548549868,0.8327680981988492,0.7309060805369958,0.7713492889896051
Image 26,0.612186698728467,0.7495328604898437,0.843442939446695,0.7387668312580417,0.7748798471309414
Image 27,0.649741530752271,0.7516347978394918,0.8539043591733493,0.7686616326246423,0.8063155522138966
Image 28,0.681427883286811,0.780934566284513,0.8552785360151122,0.7983898178060302,0.8259986555280964
Image 29,0.7489123993650715,0.8382919420279613,0.882727673773482,0.8537098842929725,0.86936873547982
Image 30,0.5715944399396072,0.6665402049756769,0.689275306104837,0.6755880433441929,0.6831708830188501
Image 31,0.452504013193228,0.6491375470481561,0.5912793759962206,0.546268978424833,0.5179102180940255
Image 32,0.684802730172915,0.7738822790912967,0.8446930258751095,0.8005726873312936,0.8246622186886725
Image 33,0.6472794345633435,0.7469306379600281,0.8232364442302155,0.7721868213106987,0.7989742419260465
Image 34,0.64580475200051,0.7217400998649012,0.8140602426539153,0.750255139921555,0.78191712294144
Image 35,0.7074461228343223,0.7645361319089844,0.9301813477081594,0.8119283452922416,0.8686259886249315
Image 36,0.5631408178552888,0.6753513780916839,0.7423566876146833,0.6586050738521668,0.6786507618364296
Image 37,0.5657086189573707,0.6779444880525612,0.7709325924798215,0.6806896789069636,0.7130476937866116
Image 38,0.5459197161700572,0.6200231206310475,0.6600427598514537,0.6270058445516073,0.640236615888422
Image 39,0.5927886101211948,0.6764876692723608,0.768588670297968,0.6950508672947874,0.7260576575281233
Image 40,0.5029554800428241,0.60617792431999,0.5584514382966489,0.573003232366972,0.5613099910189495
Image 41,0.5987543426702173,0.6996175315365404,0.8671811458018435,0.7349343205856873,0.793082804145925
Image 42,0.7559121020520626,0.8415779023142883,0.9008994733663264,0.8576939133670969,0.8799172078265568
Image 43,0.7404835503068137,0.83125499418919,0.8976552281048926,0.8491912183726705,0.8741492685691582
Image 44,0.753155527108559,0.8399433671046003,0.89285541581877,0.8551678541795916,0.8745882315990136
Image 45,0.604103632309851,0.7335484548549868,0.8327680981988492,0.7309060805369958,0.7713492889896051
Image 46,0.612186698728467,0.7495328604898437,0.843442939446695,0.7387668312580417,0.7748798471309414
Image 47,0.649741530752271,0.7516347978394918,0.8539043591733493,0.7686616326246423,0.8063155522138966
Image 48,0.681427883286811,0.780934566284513,0.8552785360151122,0.7983898178060302,0.8259986555280964
Image 49,0.7489123993650715,0.8382919420279613,0.882727673773482,0.8537098842929725,0.86936873547982
