Image_name,mIoU,Precision,Recall,F1-score(Dice-score),F2-score
Image 1,0.9472830112097901,0.9687974820525601,0.9758303515661964,0.9722619308879906,0.974390267696997
Image 2,0.94389497687882,0.9799130464084588,0.9630411058061202,0.9710422976010151,0.9661403800058436
Image 3,0.9149314831747044,0.9604591667971762,0.949306080990226,0.9546069172632891,0.9513629975384962
Image 4,0.834462657100827,0.9789001414974093,0.8492525821131313,0.8975776515280244,0.8659999774448282
Image 5,0.9239556722907843,0.952923459339838,0.9646725972093441,0.9586663849280267,0.9622374582217695
Image 6,0.9392806364431315,0.9678379832764307,0.9695029318769274,0.968660459542877,0.9691635415164429
Image 7,0.9123468242747244,0.9454926126667136,0.9597675380269398,0.9523885735222124,0.956755603167036
Image 8,0.9336069265016748,0.9571999270623137,0.9744064380676593,0.9655257532439686,0.9707858882795707
Image 9,0.9509928857964397,0.9714356689916337,0.9783922164323697,0.9747768149233392,0.9769126354418386
Image 10,0.9116161736786025,0.9494834776627189,0.9580327829370833,0.9535042760488331,0.9561590784511003
Image 11,0.8813777204771562,0.9100403769557718,0.960648778910147,0.9322376903163514,0.9484062927255694
Image 12,0.9458296339299473,0.9794872100368623,0.9636234561270958,0.9712386163119809,0.9665970781614086
Image 13,0.9698197038760918,0.9878208566124619,0.9817220634961864,0.9846638073226773,0.9828733224889694
Image 14,0.9239847360220274,0.958311455801539,0.9618745282492815,0.9600580586586832,0.9611394333161752
Image 15,0.9569477733050249,0.9806373086607549,0.9746926993955515,0.9776159680454565,0.9758504567051371
Image 16,0.9447965695712729,0.9689530474020001,0.9737302200169974,0.9712783605436858,0.9727340093621516
Image 17,0.953735827138542,0.9739612994777884,0.979246113686496,0.9762667555893049,0.9779708658231138
Image 18,0.8835869260712444,0.9361104971780635,0.9329515887887393,0.9345194003456267,0.9335759363436731
Image 19,0.9298327472125091,0.9564789474969174,0.970573366217289,0.9630686239599734,0.9674559151097863
Image 20,0.8737426234390497,0.9365974243164278,0.9185348415262308,0.9271692144332043,0.9218988046578467
Image 21,0.9472830112097901,0.9687974820525601,0.9758303515661964,0.9722619308879906,0.974390267696997
Image 22,0.94389497687882,0.9799130464084588,0.9630411058061202,0.9710422976010151,0.9661403800058436
Image 23,0.9149314831747044,0.9604591667971762,0.949306080990226,0.9546069172632891,0.9513629975384962
Image 24,0.834462657100827,0.9789001414974093,0.8492525821131313,0.8975776515280244,0.8659999774448282
Image 25,0.9239556722907843,0.952923459339838,0.9646725972093441,0.9586663849280267,0.9622374582217695
Image 26,0.9392806364431315,0.9678379832764307,0.9695029318769274,0.968660459542877,0.9691635415164429
Image 27,0.9123468242747244,0.9454926126667136,0.9597675380269398,0.9523885735222124,0.956755603167036
Image 28,0.9336069265016748,0.9571999270623137,0.9744064380676593,0.9655257532439686,0.9707858882795707
Image 29,0.9509928857964397,0.9714356689916337,0.9783922164323697,0.9747768149233392,0.9769126354418386
