Image_name,mIoU,Precision,Recall,F1-score(Dice-score),F2-score
Image 1,0.773475188016282,0.8558287773344295,0.8967422307310268,0.8669720904234509,0.8821965041510748
Image 2,0.42172550044347656,0.6958156868320114,0.6439511873742633,0.5718475779014085,0.5743058369089479
Image 3,0.2877109088743279,0.38520993091308614,0.5678367909226498,0.3653688861930267,0.40756860201846773
Image 4,0.5917130058527985,0.7549846501445036,0.7802858032109953,0.7430296981302688,0.7599130555164283
Image 5,0.34814411077091667,0.5300245190380113,0.40465999833841765,0.4413970462263466,0.4153354718261735
Image 6,0.17946189753387654,0.29523239258454,0.3125098694785748,0.2818916342732621,0.29462691858967976
Image 7,0.4824696565524043,0.7608474719046483,0.537614097769789,0.5662723969842273,0.546259271273334
Image 8,0.5625094854056352,0.7897284619154851,0.7034645983614158,0.6996303090065288,0.6959240871655266
Image 9,0.4853447227592658,0.8768122872408587,0.567093017699371,0.5999722559437659,0.572341242549642
Image 10,0.43164398516036145,0.7557013899537162,0.660368322846555,0.5643318283411228,0.5842566263686315
Image 11,0.3147893666391147,0.5176192883045982,0.5114862013643721,0.41686681515697116,0.44903234484242754
Image 12,0.3815020181745539,0.543476637494042,0.7873246675578948,0.5458546929163404,0.6398563973264207
Image 13,0.745686661701117,0.8083547634038473,0.9103980177488826,0.8497613123606431,0.8834004831827604
Image 14,0.5526355901609252,0.8089466367092087,0.6272331703324733,0.6798554071362105,0.643528486342838
Image 15,0.33354953511258517,0.6284335419220841,0.5305215350223513,0.4870903847009706,0.49759048853190674
Image 16,0.7259440030950534,0.8331601708798596,0.8703388279775378,0.8388448298808157,0.853910173501614
Image 17,0.9368669089927694,0.9826831401981208,0.9541666472843405,0.9671790243607059,0.959091157747257
Image 18,0.5006076582224201,0.6229890912075228,0.6954433939242568,0.5980626398298078,0.6176793449718183
Image 19,0.5322083588101207,0.6076281254790875,0.6329936312355716,0.6188393255797789,0.6269558782102322
Image 20,0.685649651761964,0.7700633918991261,0.8966897348585651,0.8004698394669969,0.8447613227580955
Image 21,0.773475188016282,0.8558287773344295,0.8967422307310268,0.8669720904234509,0.8821965041510748
Image 22,0.42172550044347656,0.6958156868320114,0.6439511873742633,0.5718475779014085,0.5743058369089479
Image 23,0.2877109088743279,0.38520993091308614,0.5678367909226498,0.3653688861930267,0.40756860201846773
Image 24,0.5917130058527985,0.7549846501445036,0.7802858032109953,0.7430296981302688,0.7599130555164283
Image 25,0.34814411077091667,0.5300245190380113,0.40465999833841765,0.4413970462263466,0.4153354718261735
Image 26,0.17946189753387654,0.29523239258454,0.3125098694785748,0.2818916342732621,0.29462691858967976
Image 27,0.4824696565524043,0.7608474719046483,0.537614097769789,0.5662723969842273,0.546259271273334
Image 28,0.5625094854056352,0.7897284619154851,0.7034645983614158,0.6996303090065288,0.6959240871655266
Image 29,0.4853447227592658,0.8768122872408587,0.567093017699371,0.5999722559437659,0.572341242549642
Image 30,0.43164398516036145,0.7557013899537162,0.660368322846555,0.5643318283411228,0.5842566263686315
Image 31,0.3147893666391147,0.5176192883045982,0.5114862013643721,0.41686681515697116,0.44903234484242754
Image 32,0.3815020181745539,0.543476637494042,0.7873246675578948,0.5458546929163404,0.6398563973264207
Image 33,0.745686661701117,0.8083547634038473,0.9103980177488826,0.8497613123606431,0.8834004831827604
Image 34,0.5526355901609252,0.8089466367092087,0.6272331703324733,0.6798554071362105,0.643528486342838
Image 35,0.33354953511258517,0.6284335419220841,0.5305215350223513,0.4870903847009706,0.49759048853190674
Image 36,0.7259440030950534,0.8331601708798596,0.8703388279775378,0.8388448298808157,0.853910173501614
Image 37,0.9368669089927694,0.9826831401981208,0.9541666472843405,0.9671790243607059,0.959091157747257
Image 38,0.5006076582224201,0.6229890912075228,0.6954433939242568,0.5980626398298078,0.6176793449718183
Image 39,0.5322083588101207,0.6076281254790875,0.6329936312355716,0.6188393255797789,0.6269558782102322
Image 40,0.685649651761964,0.7700633918991261,0.8966897348585651,0.8004698394669969,0.8447613227580955
Image 41,0.773475188016282,0.8558287773344295,0.8967422307310268,0.8669720904234509,0.8821965041510748
Image 42,0.42172550044347656,0.6958156868320114,0.6439511873742633,0.5718475779014085,0.5743058369089479
Image 43,0.2877109088743279,0.38520993091308614,0.5678367909226498,0.3653688861930267,0.40756860201846773
Image 44,0.5917130058527985,0.7549846501445036,0.7802858032109953,0.7430296981302688,0.7599130555164283
Image 45,0.34814411077091667,0.5300245190380113,0.40465999833841765,0.4413970462263466,0.4153354718261735
Image 46,0.17946189753387654,0.29523239258454,0.3125098694785748,0.2818916342732621,0.29462691858967976
Image 47,0.4824696565524043,0.7608474719046483,0.537614097769789,0.5662723969842273,0.546259271273334
Image 48,0.5625094854056352,0.7897284619154851,0.7034645983614158,0.6996303090065288,0.6959240871655266
Image 49,0.4853447227592658,0.8768122872408587,0.567093017699371,0.5999722559437659,0.572341242549642
Image 50,0.43164398516036145,0.7557013899537162,0.660368322846555,0.5643318283411228,0.5842566263686315
Image 51,0.3147893666391147,0.5176192883045982,0.5114862013643721,0.41686681515697116,0.44903234484242754
Image 52,0.3815020181745539,0.543476637494042,0.7873246675578948,0.5458546929163404,0.6398563973264207
Image 53,0.745686661701117,0.8083547634038473,0.9103980177488826,0.8497613123606431,0.8834004831827604
Image 54,0.5526355901609252,0.8089466367092087,0.6272331703324733,0.6798554071362105,0.643528486342838
Image 55,0.33354953511258517,0.6284335419220841,0.5305215350223513,0.4870903847009706,0.49759048853190674
Image 56,0.7259440030950534,0.8331601708798596,0.8703388279775378,0.8388448298808157,0.853910173501614
Image 57,0.9368669089927694,0.9826831401981208,0.9541666472843405,0.9671790243607059,0.959091157747257
Image 58,0.5006076582224201,0.6229890912075228,0.6954433939242568,0.5980626398298078,0.6176793449718183
Image 59,0.5322083588101207,0.6076281254790875,0.6329936312355716,0.6188393255797789,0.6269558782102322
Image 60,0.685649651761964,0.7700633918991261,0.8966897348585651,0.8004698394669969,0.8447613227580955
Image 61,0.773475188016282,0.8558287773344295,0.8967422307310268,0.8669720904234509,0.8821965041510748
Image 62,0.42172550044347656,0.6958156868320114,0.6439511873742633,0.5718475779014085,0.5743058369089479
Image 63,0.2877109088743279,0.38520993091308614,0.5678367909226498,0.3653688861930267,0.40756860201846773
Image 64,0.5917130058527985,0.7549846501445036,0.7802858032109953,0.7430296981302688,0.7599130555164283
Image 65,0.34814411077091667,0.5300245190380113,0.40465999833841765,0.4413970462263466,0.4153354718261735
Image 66,0.17946189753387654,0.29523239258454,0.3125098694785748,0.2818916342732621,0.29462691858967976
Image 67,0.4824696565524043,0.7608474719046483,0.537614097769789,0.5662723969842273,0.546259271273334
Image 68,0.5625094854056352,0.7897284619154851,0.7034645983614158,0.6996303090065288,0.6959240871655266
Image 69,0.4853447227592658,0.8768122872408587,0.567093017699371,0.5999722559437659,0.572341242549642
