Image_name,mIoU,Precision,Recall,F1-score(Dice-score),F2-score
Image 1,0.6095883790789539,0.710277607775887,0.861507647843796,0.7521249071698125,0.8056336573958575
Image 2,0.7694988333583893,0.8592465925213201,0.8951588810341291,0.8694655455374404,0.883005435133278
Image 3,0.7576194414936478,0.8441373263853111,0.8994727287172514,0.8613631425866705,0.8815510750713358
Image 4,0.781501154281225,0.8707264216178782,0.8986463767587557,0.8773144084571118,0.8883689660438402
Image 5,0.6602722522503276,0.7759228254517335,0.8600313297133262,0.7918144203879861,0.8255684049518474
Image 6,0.6347329733206087,0.7511677901494944,0.845959366166538,0.7604588036911578,0.7962112933714612
Image 7,0.6315156489290522,0.7405385637941476,0.8415063355866313,0.7566740318611855,0.7938181445649138
Image 8,0.7249302025138281,0.8297350180721867,0.8627271193819408,0.8395461835299992,0.8518335140996601
Image 9,0.7711172357094087,0.8791522196251199,0.874768752545973,0.8705714960806251,0.8714657574943768
Image 10,0.5596054285858969,0.6520850768875485,0.6714129631140487,0.6592350640198954,0.6658044036260057
Image 11,0.507248746043638,0.6281208050892776,0.7430226728001682,0.6052333100006431,0.624503108562502
Image 12,0.6472065669812728,0.7435077493369929,0.8278669409965165,0.7722691790088069,0.8017285539016165
Image 13,0.6639701688011197,0.7839004039310987,0.826480693088332,0.7945991440362564,0.8110784105759441
Image 14,0.7427325183526845,0.8993593631889726,0.8272207062079487,0.8495986520426717,0.8332633878676458
Image 15,0.7790212439131814,0.8541360501862449,0.9119251461649062,0.8752210156565834,0.8951405426656991
Image 16,0.57478778130501,0.663542189888006,0.7139937096087188,0.6679952685615104,0.685813445736008
Image 17,0.5834641562332014,0.6793964007742331,0.7929316910477436,0.705754631784969,0.7448039292498434
Image 18,0.5403655018047284,0.6130556860657229,0.6336620455963301,0.610937816242512,0.6183137892594958
Image 19,0.5837714174357019,0.6666091598543228,0.7309932188875466,0.6861561360627352,0.7082607423357999
Image 20,0.6612214635695963,0.8117430148869382,0.8339173965284674,0.7955584758555786,0.8112846691597542
Image 21,0.6095883790789539,0.710277607775887,0.861507647843796,0.7521249071698125,0.8056336573958575
Image 22,0.7694988333583893,0.8592465925213201,0.8951588810341291,0.8694655455374404,0.883005435133278
Image 23,0.7576194414936478,0.8441373263853111,0.8994727287172514,0.8613631425866705,0.8815510750713358
Image 24,0.781501154281225,0.8707264216178782,0.8986463767587557,0.8773144084571118,0.8883689660438402
Image 25,0.6602722522503276,0.7759228254517335,0.8600313297133262,0.7918144203879861,0.8255684049518474
Image 26,0.6347329733206087,0.7511677901494944,0.845959366166538,0.7604588036911578,0.7962112933714612
Image 27,0.6315156489290522,0.7405385637941476,0.8415063355866313,0.7566740318611855,0.7938181445649138
Image 28,0.7249302025138281,0.8297350180721867,0.8627271193819408,0.8395461835299992,0.8518335140996601
Image 29,0.7711172357094087,0.8791522196251199,0.874768752545973,0.8705714960806251,0.8714657574943768
Image 30,0.5596054285858969,0.6520850768875485,0.6714129631140487,0.6592350640198954,0.6658044036260057
Image 31,0.507248746043638,0.6281208050892776,0.7430226728001682,0.6052333100006431,0.624503108562502
Image 32,0.6472065669812728,0.7435077493369929,0.8278669409965165,0.7722691790088069,0.8017285539016165
Image 33,0.6639701688011197,0.7839004039310987,0.826480693088332,0.7945991440362564,0.8110784105759441
Image 34,0.7427325183526845,0.8993593631889726,0.8272207062079487,0.8495986520426717,0.8332633878676458
Image 35,0.7790212439131814,0.8541360501862449,0.9119251461649062,0.8752210156565834,0.8951405426656991
Image 36,0.57478778130501,0.663542189888006,0.7139937096087188,0.6679952685615104,0.685813445736008
Image 37,0.5834641562332014,0.6793964007742331,0.7929316910477436,0.705754631784969,0.7448039292498434
Image 38,0.5403655018047284,0.6130556860657229,0.6336620455963301,0.610937816242512,0.6183137892594958
Image 39,0.5837714174357019,0.6666091598543228,0.7309932188875466,0.6861561360627352,0.7082607423357999
Image 40,0.6612214635695963,0.8117430148869382,0.8339173965284674,0.7955584758555786,0.8112846691597542
Image 41,0.6095883790789539,0.710277607775887,0.861507647843796,0.7521249071698125,0.8056336573958575
Image 42,0.7694988333583893,0.8592465925213201,0.8951588810341291,0.8694655455374404,0.883005435133278
Image 43,0.7576194414936478,0.8441373263853111,0.8994727287172514,0.8613631425866705,0.8815510750713358
Image 44,0.781501154281225,0.8707264216178782,0.8986463767587557,0.8773144084571118,0.8883689660438402
Image 45,0.6602722522503276,0.7759228254517335,0.8600313297133262,0.7918144203879861,0.8255684049518474
Image 46,0.6347329733206087,0.7511677901494944,0.845959366166538,0.7604588036911578,0.7962112933714612
Image 47,0.6315156489290522,0.7405385637941476,0.8415063355866313,0.7566740318611855,0.7938181445649138
Image 48,0.7249302025138281,0.8297350180721867,0.8627271193819408,0.8395461835299992,0.8518335140996601
Image 49,0.7711172357094087,0.8791522196251199,0.874768752545973,0.8705714960806251,0.8714657574943768
Image 50,0.5596054285858969,0.6520850768875485,0.6714129631140487,0.6592350640198954,0.6658044036260057
Image 51,0.507248746043638,0.6281208050892776,0.7430226728001682,0.6052333100006431,0.624503108562502
Image 52,0.6472065669812728,0.7435077493369929,0.8278669409965165,0.7722691790088069,0.8017285539016165
Image 53,0.6639701688011197,0.7839004039310987,0.826480693088332,0.7945991440362564,0.8110784105759441
Image 54,0.7427325183526845,0.8993593631889726,0.8272207062079487,0.8495986520426717,0.8332633878676458
Image 55,0.7790212439131814,0.8541360501862449,0.9119251461649062,0.8752210156565834,0.8951405426656991
Image 56,0.57478778130501,0.663542189888006,0.7139937096087188,0.6679952685615104,0.685813445736008
Image 57,0.5834641562332014,0.6793964007742331,0.7929316910477436,0.705754631784969,0.7448039292498434
Image 58,0.5403655018047284,0.6130556860657229,0.6336620455963301,0.610937816242512,0.6183137892594958
Image 59,0.5837714174357019,0.6666091598543228,0.7309932188875466,0.6861561360627352,0.7082607423357999
Image 60,0.6612214635695963,0.8117430148869382,0.8339173965284674,0.7955584758555786,0.8112846691597542
Image 61,0.6095883790789539,0.710277607775887,0.861507647843796,0.7521249071698125,0.8056336573958575
Image 62,0.7694988333583893,0.8592465925213201,0.8951588810341291,0.8694655455374404,0.883005435133278
Image 63,0.7576194414936478,0.8441373263853111,0.8994727287172514,0.8613631425866705,0.8815510750713358
Image 64,0.781501154281225,0.8707264216178782,0.8986463767587557,0.8773144084571118,0.8883689660438402
Image 65,0.6602722522503276,0.7759228254517335,0.8600313297133262,0.7918144203879861,0.8255684049518474
Image 66,0.6347329733206087,0.7511677901494944,0.845959366166538,0.7604588036911578,0.7962112933714612
Image 67,0.6315156489290522,0.7405385637941476,0.8415063355866313,0.7566740318611855,0.7938181445649138
Image 68,0.7249302025138281,0.8297350180721867,0.8627271193819408,0.8395461835299992,0.8518335140996601
Image 69,0.7711172357094087,0.8791522196251199,0.874768752545973,0.8705714960806251,0.8714657574943768
Image 70,0.5596054285858969,0.6520850768875485,0.6714129631140487,0.6592350640198954,0.6658044036260057
Image 71,0.507248746043638,0.6281208050892776,0.7430226728001682,0.6052333100006431,0.624503108562502
Image 72,0.6472065669812728,0.7435077493369929,0.8278669409965165,0.7722691790088069,0.8017285539016165
Image 73,0.6639701688011197,0.7839004039310987,0.826480693088332,0.7945991440362564,0.8110784105759441
Image 74,0.7427325183526845,0.8993593631889726,0.8272207062079487,0.8495986520426717,0.8332633878676458
Image 75,0.7790212439131814,0.8541360501862449,0.9119251461649062,0.8752210156565834,0.8951405426656991
Image 76,0.57478778130501,0.663542189888006,0.7139937096087188,0.6679952685615104,0.685813445736008
Image 77,0.5834641562332014,0.6793964007742331,0.7929316910477436,0.705754631784969,0.7448039292498434
Image 78,0.5403655018047284,0.6130556860657229,0.6336620455963301,0.610937816242512,0.6183137892594958
Image 79,0.5837714174357019,0.6666091598543228,0.7309932188875466,0.6861561360627352,0.7082607423357999
Image 80,0.6612214635695963,0.8117430148869382,0.8339173965284674,0.7955584758555786,0.8112846691597542
Image 81,0.6095883790789539,0.710277607775887,0.861507647843796,0.7521249071698125,0.8056336573958575
Image 82,0.7694988333583893,0.8592465925213201,0.8951588810341291,0.8694655455374404,0.883005435133278
Image 83,0.7576194414936478,0.8441373263853111,0.8994727287172514,0.8613631425866705,0.8815510750713358
Image 84,0.781501154281225,0.8707264216178782,0.8986463767587557,0.8773144084571118,0.8883689660438402
Image 85,0.6602722522503276,0.7759228254517335,0.8600313297133262,0.7918144203879861,0.8255684049518474
Image 86,0.6347329733206087,0.7511677901494944,0.845959366166538,0.7604588036911578,0.7962112933714612
Image 87,0.6315156489290522,0.7405385637941476,0.8415063355866313,0.7566740318611855,0.7938181445649138
Image 88,0.7249302025138281,0.8297350180721867,0.8627271193819408,0.8395461835299992,0.8518335140996601
Image 89,0.7711172357094087,0.8791522196251199,0.874768752545973,0.8705714960806251,0.8714657574943768
Image 90,0.5596054285858969,0.6520850768875485,0.6714129631140487,0.6592350640198954,0.6658044036260057
Image 91,0.507248746043638,0.6281208050892776,0.7430226728001682,0.6052333100006431,0.624503108562502
Image 92,0.6472065669812728,0.7435077493369929,0.8278669409965165,0.7722691790088069,0.8017285539016165
Image 93,0.6639701688011197,0.7839004039310987,0.826480693088332,0.7945991440362564,0.8110784105759441
Image 94,0.7427325183526845,0.8993593631889726,0.8272207062079487,0.8495986520426717,0.8332633878676458
Image 95,0.7790212439131814,0.8541360501862449,0.9119251461649062,0.8752210156565834,0.8951405426656991
Image 96,0.57478778130501,0.663542189888006,0.7139937096087188,0.6679952685615104,0.685813445736008
Image 97,0.5834641562332014,0.6793964007742331,0.7929316910477436,0.705754631784969,0.7448039292498434
Image 98,0.5403655018047284,0.6130556860657229,0.6336620455963301,0.610937816242512,0.6183137892594958
Image 99,0.5837714174357019,0.6666091598543228,0.7309932188875466,0.6861561360627352,0.7082607423357999
Image 100,0.6612214635695963,0.8117430148869382,0.8339173965284674,0.7955584758555786,0.8112846691597542
Image 101,0.6095883790789539,0.710277607775887,0.861507647843796,0.7521249071698125,0.8056336573958575
Image 102,0.7694988333583893,0.8592465925213201,0.8951588810341291,0.8694655455374404,0.883005435133278
Image 103,0.7576194414936478,0.8441373263853111,0.8994727287172514,0.8613631425866705,0.8815510750713358
Image 104,0.781501154281225,0.8707264216178782,0.8986463767587557,0.8773144084571118,0.8883689660438402
Image 105,0.6602722522503276,0.7759228254517335,0.8600313297133262,0.7918144203879861,0.8255684049518474
Image 106,0.6347329733206087,0.7511677901494944,0.845959366166538,0.7604588036911578,0.7962112933714612
Image 107,0.6315156489290522,0.7405385637941476,0.8415063355866313,0.7566740318611855,0.7938181445649138
Image 108,0.7249302025138281,0.8297350180721867,0.8627271193819408,0.8395461835299992,0.8518335140996601
Image 109,0.7711172357094087,0.8791522196251199,0.874768752545973,0.8705714960806251,0.8714657574943768
Image 110,0.5596054285858969,0.6520850768875485,0.6714129631140487,0.6592350640198954,0.6658044036260057
Image 111,0.507248746043638,0.6281208050892776,0.7430226728001682,0.6052333100006431,0.624503108562502
Image 112,0.6472065669812728,0.7435077493369929,0.8278669409965165,0.7722691790088069,0.8017285539016165
Image 113,0.6639701688011197,0.7839004039310987,0.826480693088332,0.7945991440362564,0.8110784105759441
Image 114,0.7427325183526845,0.8993593631889726,0.8272207062079487,0.8495986520426717,0.8332633878676458
Image 115,0.7790212439131814,0.8541360501862449,0.9119251461649062,0.8752210156565834,0.8951405426656991
Image 116,0.57478778130501,0.663542189888006,0.7139937096087188,0.6679952685615104,0.685813445736008
Image 117,0.5834641562332014,0.6793964007742331,0.7929316910477436,0.705754631784969,0.7448039292498434
Image 118,0.5403655018047284,0.6130556860657229,0.6336620455963301,0.610937816242512,0.6183137892594958
Image 119,0.5837714174357019,0.6666091598543228,0.7309932188875466,0.6861561360627352,0.7082607423357999
Image 120,0.6612214635695963,0.8117430148869382,0.8339173965284674,0.7955584758555786,0.8112846691597542
Image 121,0.6095883790789539,0.710277607775887,0.861507647843796,0.7521249071698125,0.8056336573958575
Image 122,0.7694988333583893,0.8592465925213201,0.8951588810341291,0.8694655455374404,0.883005435133278
