Image_name,mIoU,Precision,Recall,F1-score(Dice-score),F2-score
Image 1,0.6101219077658993,0.7106366457580297,0.8620041322212658,0.7525023992970349,0.8060682738575305
Image 2,0.7690482863108684,0.8588191998808693,0.895211652807018,0.8691687610352158,0.8828909294973907
Image 3,0.7567905893060902,0.8435103963519062,0.8992193118002284,0.8608034614404497,0.881141536014554
Image 4,0.7798685866060545,0.8695214021305562,0.898088113530792,0.8762800106006102,0.887582647857941
Image 5,0.6601729630121445,0.7758738045272513,0.8601669748512096,0.7917477137431738,0.8255912297944076
Image 6,0.6337746104220849,0.7504947883775577,0.8451172291197407,0.7596924246141947,0.7953948672182314
Image 7,0.6305549701294554,0.7398458117965223,0.840555036484607,0.7558647866020891,0.7929297709282301
Image 8,0.7240466182789683,0.8290881163727363,0.8623076459601297,0.8389374262485898,0.8513194451618492
Image 9,0.7706820066451373,0.8787746665471481,0.8747092331863936,0.8702994173388738,0.8713071448237825
Image 10,0.560335349053399,0.6525194250033409,0.6719686743807615,0.659709093866362,0.6663213392417938
Image 11,0.5071305798735674,0.6279500049328672,0.7428784065309227,0.6049862972565325,0.624146090538166
Image 12,0.6462117068735109,0.7425810279727071,0.8274183656659747,0.7714187740465901,0.8010631168673842
Image 13,0.6636154099720581,0.7834920161665608,0.8265418245059805,0.7943212930643764,0.8109761021012094
Image 14,0.7415626306482904,0.8980587910497418,0.8265927630417386,0.8486897276489994,0.8325294315855132
Image 15,0.7784456782487056,0.8539407147554591,0.9113916612853155,0.8748419447003983,0.8946637157199412
Image 16,0.5752319109033329,0.6637785833331559,0.7146061633083036,0.6682436758409803,0.6861752941955248
Image 17,0.5829498824454021,0.6790102515579602,0.7924771735019439,0.7053161981323894,0.7443508259401826
Image 18,0.5401027724897164,0.612856198064561,0.6334257198986227,0.6106655230537524,0.6180277462458367
Image 19,0.5834973349836284,0.6664012126232471,0.7307149165524799,0.6859311335673658,0.7080176697956917
Image 20,0.6608419769434266,0.8115303949216917,0.833728310536027,0.7952728749711573,0.8110316278693006
Image 21,0.6101219077658993,0.7106366457580297,0.8620041322212658,0.7525023992970349,0.8060682738575305
Image 22,0.7690482863108684,0.8588191998808693,0.895211652807018,0.8691687610352158,0.8828909294973907
Image 23,0.7567905893060902,0.8435103963519062,0.8992193118002284,0.8608034614404497,0.881141536014554
Image 24,0.7798685866060545,0.8695214021305562,0.898088113530792,0.8762800106006102,0.887582647857941
Image 25,0.6601729630121445,0.7758738045272513,0.8601669748512096,0.7917477137431738,0.8255912297944076
Image 26,0.6337746104220849,0.7504947883775577,0.8451172291197407,0.7596924246141947,0.7953948672182314
Image 27,0.6305549701294554,0.7398458117965223,0.840555036484607,0.7558647866020891,0.7929297709282301
Image 28,0.7240466182789683,0.8290881163727363,0.8623076459601297,0.8389374262485898,0.8513194451618492
Image 29,0.7706820066451373,0.8787746665471481,0.8747092331863936,0.8702994173388738,0.8713071448237825
Image 30,0.560335349053399,0.6525194250033409,0.6719686743807615,0.659709093866362,0.6663213392417938
Image 31,0.5071305798735674,0.6279500049328672,0.7428784065309227,0.6049862972565325,0.624146090538166
Image 32,0.6462117068735109,0.7425810279727071,0.8274183656659747,0.7714187740465901,0.8010631168673842
Image 33,0.6636154099720581,0.7834920161665608,0.8265418245059805,0.7943212930643764,0.8109761021012094
Image 34,0.7415626306482904,0.8980587910497418,0.8265927630417386,0.8486897276489994,0.8325294315855132
Image 35,0.7784456782487056,0.8539407147554591,0.9113916612853155,0.8748419447003983,0.8946637157199412
Image 36,0.5752319109033329,0.6637785833331559,0.7146061633083036,0.6682436758409803,0.6861752941955248
Image 37,0.5829498824454021,0.6790102515579602,0.7924771735019439,0.7053161981323894,0.7443508259401826
Image 38,0.5401027724897164,0.612856198064561,0.6334257198986227,0.6106655230537524,0.6180277462458367
Image 39,0.5834973349836284,0.6664012126232471,0.7307149165524799,0.6859311335673658,0.7080176697956917
Image 40,0.6608419769434266,0.8115303949216917,0.833728310536027,0.7952728749711573,0.8110316278693006
Image 41,0.6101219077658993,0.7106366457580297,0.8620041322212658,0.7525023992970349,0.8060682738575305
Image 42,0.7690482863108684,0.8588191998808693,0.895211652807018,0.8691687610352158,0.8828909294973907
Image 43,0.7567905893060902,0.8435103963519062,0.8992193118002284,0.8608034614404497,0.881141536014554
Image 44,0.7798685866060545,0.8695214021305562,0.898088113530792,0.8762800106006102,0.887582647857941
Image 45,0.6601729630121445,0.7758738045272513,0.8601669748512096,0.7917477137431738,0.8255912297944076
Image 46,0.6337746104220849,0.7504947883775577,0.8451172291197407,0.7596924246141947,0.7953948672182314
Image 47,0.6305549701294554,0.7398458117965223,0.840555036484607,0.7558647866020891,0.7929297709282301
Image 48,0.7240466182789683,0.8290881163727363,0.8623076459601297,0.8389374262485898,0.8513194451618492
Image 49,0.7706820066451373,0.8787746665471481,0.8747092331863936,0.8702994173388738,0.8713071448237825
Image 50,0.560335349053399,0.6525194250033409,0.6719686743807615,0.659709093866362,0.6663213392417938
Image 51,0.5071305798735674,0.6279500049328672,0.7428784065309227,0.6049862972565325,0.624146090538166
Image 52,0.6462117068735109,0.7425810279727071,0.8274183656659747,0.7714187740465901,0.8010631168673842
Image 53,0.6636154099720581,0.7834920161665608,0.8265418245059805,0.7943212930643764,0.8109761021012094
Image 54,0.7415626306482904,0.8980587910497418,0.8265927630417386,0.8486897276489994,0.8325294315855132
Image 55,0.7784456782487056,0.8539407147554591,0.9113916612853155,0.8748419447003983,0.8946637157199412
Image 56,0.5752319109033329,0.6637785833331559,0.7146061633083036,0.6682436758409803,0.6861752941955248
Image 57,0.5829498824454021,0.6790102515579602,0.7924771735019439,0.7053161981323894,0.7443508259401826
Image 58,0.5401027724897164,0.612856198064561,0.6334257198986227,0.6106655230537524,0.6180277462458367
Image 59,0.5834973349836284,0.6664012126232471,0.7307149165524799,0.6859311335673658,0.7080176697956917
Image 60,0.6608419769434266,0.8115303949216917,0.833728310536027,0.7952728749711573,0.8110316278693006
Image 61,0.6101219077658993,0.7106366457580297,0.8620041322212658,0.7525023992970349,0.8060682738575305
Image 62,0.7690482863108684,0.8588191998808693,0.895211652807018,0.8691687610352158,0.8828909294973907
Image 63,0.7567905893060902,0.8435103963519062,0.8992193118002284,0.8608034614404497,0.881141536014554
Image 64,0.7798685866060545,0.8695214021305562,0.898088113530792,0.8762800106006102,0.887582647857941
Image 65,0.6601729630121445,0.7758738045272513,0.8601669748512096,0.7917477137431738,0.8255912297944076
Image 66,0.6337746104220849,0.7504947883775577,0.8451172291197407,0.7596924246141947,0.7953948672182314
Image 67,0.6305549701294554,0.7398458117965223,0.840555036484607,0.7558647866020891,0.7929297709282301
Image 68,0.7240466182789683,0.8290881163727363,0.8623076459601297,0.8389374262485898,0.8513194451618492
Image 69,0.7706820066451373,0.8787746665471481,0.8747092331863936,0.8702994173388738,0.8713071448237825
Image 70,0.560335349053399,0.6525194250033409,0.6719686743807615,0.659709093866362,0.6663213392417938
Image 71,0.5071305798735674,0.6279500049328672,0.7428784065309227,0.6049862972565325,0.624146090538166
Image 72,0.6462117068735109,0.7425810279727071,0.8274183656659747,0.7714187740465901,0.8010631168673842
Image 73,0.6636154099720581,0.7834920161665608,0.8265418245059805,0.7943212930643764,0.8109761021012094
Image 74,0.7415626306482904,0.8980587910497418,0.8265927630417386,0.8486897276489994,0.8325294315855132
Image 75,0.7784456782487056,0.8539407147554591,0.9113916612853155,0.8748419447003983,0.8946637157199412
Image 76,0.5752319109033329,0.6637785833331559,0.7146061633083036,0.6682436758409803,0.6861752941955248
Image 77,0.5829498824454021,0.6790102515579602,0.7924771735019439,0.7053161981323894,0.7443508259401826
Image 78,0.5401027724897164,0.612856198064561,0.6334257198986227,0.6106655230537524,0.6180277462458367
Image 79,0.5834973349836284,0.6664012126232471,0.7307149165524799,0.6859311335673658,0.7080176697956917
Image 80,0.6608419769434266,0.8115303949216917,0.833728310536027,0.7952728749711573,0.8110316278693006
Image 81,0.6101219077658993,0.7106366457580297,0.8620041322212658,0.7525023992970349,0.8060682738575305
Image 82,0.7690482863108684,0.8588191998808693,0.895211652807018,0.8691687610352158,0.8828909294973907
Image 83,0.7567905893060902,0.8435103963519062,0.8992193118002284,0.8608034614404497,0.881141536014554
Image 84,0.7798685866060545,0.8695214021305562,0.898088113530792,0.8762800106006102,0.887582647857941
Image 85,0.6601729630121445,0.7758738045272513,0.8601669748512096,0.7917477137431738,0.8255912297944076
Image 86,0.6337746104220849,0.7504947883775577,0.8451172291197407,0.7596924246141947,0.7953948672182314
Image 87,0.6305549701294554,0.7398458117965223,0.840555036484607,0.7558647866020891,0.7929297709282301
Image 88,0.7240466182789683,0.8290881163727363,0.8623076459601297,0.8389374262485898,0.8513194451618492
Image 89,0.7706820066451373,0.8787746665471481,0.8747092331863936,0.8702994173388738,0.8713071448237825
Image 90,0.560335349053399,0.6525194250033409,0.6719686743807615,0.659709093866362,0.6663213392417938
Image 91,0.5071305798735674,0.6279500049328672,0.7428784065309227,0.6049862972565325,0.624146090538166
Image 92,0.6462117068735109,0.7425810279727071,0.8274183656659747,0.7714187740465901,0.8010631168673842
Image 93,0.6636154099720581,0.7834920161665608,0.8265418245059805,0.7943212930643764,0.8109761021012094
Image 94,0.7415626306482904,0.8980587910497418,0.8265927630417386,0.8486897276489994,0.8325294315855132
Image 95,0.7784456782487056,0.8539407147554591,0.9113916612853155,0.8748419447003983,0.8946637157199412
Image 96,0.5752319109033329,0.6637785833331559,0.7146061633083036,0.6682436758409803,0.6861752941955248
Image 97,0.5829498824454021,0.6790102515579602,0.7924771735019439,0.7053161981323894,0.7443508259401826
Image 98,0.5401027724897164,0.612856198064561,0.6334257198986227,0.6106655230537524,0.6180277462458367
Image 99,0.5834973349836284,0.6664012126232471,0.7307149165524799,0.6859311335673658,0.7080176697956917
Image 100,0.6608419769434266,0.8115303949216917,0.833728310536027,0.7952728749711573,0.8110316278693006
Image 101,0.6101219077658993,0.7106366457580297,0.8620041322212658,0.7525023992970349,0.8060682738575305
Image 102,0.7690482863108684,0.8588191998808693,0.895211652807018,0.8691687610352158,0.8828909294973907
Image 103,0.7567905893060902,0.8435103963519062,0.8992193118002284,0.8608034614404497,0.881141536014554
Image 104,0.7798685866060545,0.8695214021305562,0.898088113530792,0.8762800106006102,0.887582647857941
Image 105,0.6601729630121445,0.7758738045272513,0.8601669748512096,0.7917477137431738,0.8255912297944076
Image 106,0.6337746104220849,0.7504947883775577,0.8451172291197407,0.7596924246141947,0.7953948672182314
Image 107,0.6305549701294554,0.7398458117965223,0.840555036484607,0.7558647866020891,0.7929297709282301
Image 108,0.7240466182789683,0.8290881163727363,0.8623076459601297,0.8389374262485898,0.8513194451618492
Image 109,0.7706820066451373,0.8787746665471481,0.8747092331863936,0.8702994173388738,0.8713071448237825
Image 110,0.560335349053399,0.6525194250033409,0.6719686743807615,0.659709093866362,0.6663213392417938
