Image_name,mIoU,Precision,Recall,F1-score(Dice-score),F2-score
Image 1,0.9308315032371298,0.957153469359409,0.9686171163611014,0.9627268321966141,0.9662216106652425
Image 2,0.9528724439942476,0.9784857035050404,0.9734207671837835,0.9758288243782892,0.9743547089480783
Image 3,0.8945058779246553,0.9659145554180827,0.9235892913120183,0.9420843551429533,0.9304328443165244
Image 4,0.8264584553154958,0.9628591977186458,0.8472056847314718,0.891628729894452,0.8627886635905678
Image 5,0.886755960979312,0.9404702099186178,0.9301937136009198,0.9352160898653454,0.9321757472317523
Image 6,0.9190564492658589,0.9572925791027399,0.9582419265740999,0.9577624171883468,0.958048959001408
Image 7,0.8916927580765068,0.9339493339409559,0.9442284192300545,0.9389567889883085,0.9420870755300365
Image 8,0.9637657917496659,0.9811040260679373,0.9819495559301097,0.9815087853940202,0.9817689264726933
Image 9,0.9477776827516465,0.9699486891703311,0.9765167149979433,0.9730466144409305,0.9750828840306248
Image 10,0.8908250644648158,0.9352016180916909,0.9489115778396991,0.9418411022897407,0.946030382181732
Image 11,0.8709959059504123,0.9101209397207235,0.9447423617233625,0.925822110644586,0.93673949171801
Image 12,0.9436867502300865,0.9744767881123794,0.965799256112935,0.9700390519408164,0.9674719910959001
Image 13,0.9766466961776891,0.9868477684415803,0.9893303959747076,0.9880798690930859,0.9888279583738951
Image 14,0.9179780441259812,0.9581642626329056,0.9552483716003558,0.9566907958846586,0.95582164250725
Image 15,0.94916500154708,0.9765130779385097,0.9703235595536542,0.9733649618912038,0.971527516231256
Image 16,0.9254301353216693,0.9557101551354176,0.9661079555950981,0.9606689946105323,0.963872413565905
Image 17,0.9675104529195603,0.9827789949535264,0.9840457249831122,0.9834058983670788,0.9837882361303866
Image 18,0.8625799732680863,0.9200031236638005,0.922570679815482,0.9212460628733186,0.9220309579657844
Image 19,0.8995597855424612,0.9422463810609673,0.9507633037635402,0.9460908979881135,0.948792392187384
Image 20,0.8284597403236257,0.930404629886254,0.8688483374320203,0.8957718479223669,0.8788573161467808
Image 21,0.9308315032371298,0.957153469359409,0.9686171163611014,0.9627268321966141,0.9662216106652425
Image 22,0.9528724439942476,0.9784857035050404,0.9734207671837835,0.9758288243782892,0.9743547089480783
Image 23,0.8945058779246553,0.9659145554180827,0.9235892913120183,0.9420843551429533,0.9304328443165244
Image 24,0.8264584553154958,0.9628591977186458,0.8472056847314718,0.891628729894452,0.8627886635905678
Image 25,0.886755960979312,0.9404702099186178,0.9301937136009198,0.9352160898653454,0.9321757472317523
Image 26,0.9190564492658589,0.9572925791027399,0.9582419265740999,0.9577624171883468,0.958048959001408
Image 27,0.8916927580765068,0.9339493339409559,0.9442284192300545,0.9389567889883085,0.9420870755300365
Image 28,0.9637657917496659,0.9811040260679373,0.9819495559301097,0.9815087853940202,0.9817689264726933
Image 29,0.9477776827516465,0.9699486891703311,0.9765167149979433,0.9730466144409305,0.9750828840306248
Image 30,0.8908250644648158,0.9352016180916909,0.9489115778396991,0.9418411022897407,0.946030382181732
Image 31,0.8709959059504123,0.9101209397207235,0.9447423617233625,0.925822110644586,0.93673949171801
Image 32,0.9436867502300865,0.9744767881123794,0.965799256112935,0.9700390519408164,0.9674719910959001
Image 33,0.9766466961776891,0.9868477684415803,0.9893303959747076,0.9880798690930859,0.9888279583738951
Image 34,0.9179780441259812,0.9581642626329056,0.9552483716003558,0.9566907958846586,0.95582164250725
Image 35,0.94916500154708,0.9765130779385097,0.9703235595536542,0.9733649618912038,0.971527516231256
Image 36,0.9254301353216693,0.9557101551354176,0.9661079555950981,0.9606689946105323,0.963872413565905
Image 37,0.9675104529195603,0.9827789949535264,0.9840457249831122,0.9834058983670788,0.9837882361303866
Image 38,0.8625799732680863,0.9200031236638005,0.922570679815482,0.9212460628733186,0.9220309579657844
Image 39,0.8995597855424612,0.9422463810609673,0.9507633037635402,0.9460908979881135,0.948792392187384
Image 40,0.8284597403236257,0.930404629886254,0.8688483374320203,0.8957718479223669,0.8788573161467808
Image 41,0.9308315032371298,0.957153469359409,0.9686171163611014,0.9627268321966141,0.9662216106652425
Image 42,0.9528724439942476,0.9784857035050404,0.9734207671837835,0.9758288243782892,0.9743547089480783
Image 43,0.8945058779246553,0.9659145554180827,0.9235892913120183,0.9420843551429533,0.9304328443165244
Image 44,0.8264584553154958,0.9628591977186458,0.8472056847314718,0.891628729894452,0.8627886635905678
Image 45,0.886755960979312,0.9404702099186178,0.9301937136009198,0.9352160898653454,0.9321757472317523
Image 46,0.9190564492658589,0.9572925791027399,0.9582419265740999,0.9577624171883468,0.958048959001408
Image 47,0.8916927580765068,0.9339493339409559,0.9442284192300545,0.9389567889883085,0.9420870755300365
Image 48,0.9637657917496659,0.9811040260679373,0.9819495559301097,0.9815087853940202,0.9817689264726933
Image 49,0.9477776827516465,0.9699486891703311,0.9765167149979433,0.9730466144409305,0.9750828840306248
Image 50,0.8908250644648158,0.9352016180916909,0.9489115778396991,0.9418411022897407,0.946030382181732
Image 51,0.8709959059504123,0.9101209397207235,0.9447423617233625,0.925822110644586,0.93673949171801
Image 52,0.9436867502300865,0.9744767881123794,0.965799256112935,0.9700390519408164,0.9674719910959001
Image 53,0.9766466961776891,0.9868477684415803,0.9893303959747076,0.9880798690930859,0.9888279583738951
Image 54,0.9179780441259812,0.9581642626329056,0.9552483716003558,0.9566907958846586,0.95582164250725
Image 55,0.94916500154708,0.9765130779385097,0.9703235595536542,0.9733649618912038,0.971527516231256
Image 56,0.9254301353216693,0.9557101551354176,0.9661079555950981,0.9606689946105323,0.963872413565905
Image 57,0.9675104529195603,0.9827789949535264,0.9840457249831122,0.9834058983670788,0.9837882361303866
Image 58,0.8625799732680863,0.9200031236638005,0.922570679815482,0.9212460628733186,0.9220309579657844
Image 59,0.8995597855424612,0.9422463810609673,0.9507633037635402,0.9460908979881135,0.948792392187384
Image 60,0.8284597403236257,0.930404629886254,0.8688483374320203,0.8957718479223669,0.8788573161467808
Image 61,0.9308315032371298,0.957153469359409,0.9686171163611014,0.9627268321966141,0.9662216106652425
Image 62,0.9528724439942476,0.9784857035050404,0.9734207671837835,0.9758288243782892,0.9743547089480783
Image 63,0.8945058779246553,0.9659145554180827,0.9235892913120183,0.9420843551429533,0.9304328443165244
Image 64,0.8264584553154958,0.9628591977186458,0.8472056847314718,0.891628729894452,0.8627886635905678
Image 65,0.886755960979312,0.9404702099186178,0.9301937136009198,0.9352160898653454,0.9321757472317523
Image 66,0.9190564492658589,0.9572925791027399,0.9582419265740999,0.9577624171883468,0.958048959001408
Image 67,0.8916927580765068,0.9339493339409559,0.9442284192300545,0.9389567889883085,0.9420870755300365
Image 68,0.9637657917496659,0.9811040260679373,0.9819495559301097,0.9815087853940202,0.9817689264726933
Image 69,0.9477776827516465,0.9699486891703311,0.9765167149979433,0.9730466144409305,0.9750828840306248
