Image_name,mIoU,Precision,Recall,F1-score(Dice-score),F2-score
Image 1,0.5615440626284335,0.6913702570706327,0.8286038003389239,0.692502312638979,0.7373920948086196
Image 2,0.6807856813196173,0.795188263233873,0.8462253547793401,0.8078802086949265,0.8267815091319077
Image 3,0.8429377631140533,0.9021562133304618,0.9322250727738505,0.9146913900942634,0.9245953394203829
Image 4,0.7299333831189488,0.8255303998741453,0.8780274724239717,0.8402054814560632,0.8595167855972158
Image 5,0.7634274644568207,0.8743133284042338,0.857463629870498,0.8649958143526076,0.8602705788786628
Image 6,0.6629627902245702,0.7726708392133195,0.8368547526058387,0.7938008649267446,0.8161463890504078
Image 7,0.6092517754655894,0.7276967395147523,0.8272335307918167,0.7376148215435997,0.7740755547783386
Image 8,0.6717354119757589,0.7747220803126512,0.852015953131024,0.7941873152506584,0.8222535886396454
Image 9,0.6934726451412708,0.8017161357669963,0.8464338257585612,0.8157554171790476,0.8316158923521044
Image 10,0.5450424367432994,0.6440077404102139,0.6557724135670356,0.6376318622953233,0.6432723869445972
Image 11,0.3571823619052859,0.5582073740843913,0.4780449359255042,0.46139267174133974,0.45332597676775266
Image 12,0.6349676763732618,0.7283354965607414,0.8114390620649191,0.7555544575214573,0.7843861471149788
Image 13,0.6734481967667852,0.783483461137898,0.7915737600148726,0.7873457206191171,0.7898381001292929
Image 14,0.6559495722076046,0.8250515749800164,0.7610966684036992,0.786873139663219,0.7700770149753966
Image 15,0.7186743830252321,0.7730430426632723,0.9294084111317865,0.8174243184569461,0.8705530961263198
Image 16,0.5135259770337658,0.6256085480699392,0.6193407213325152,0.606628263583538,0.607453980428514
Image 17,0.5903882404415645,0.6789465155806055,0.7811509257738557,0.6949162081349947,0.7296350520816532
Image 18,0.5370730366970121,0.6113460415917119,0.611082109690354,0.6035769247593269,0.6036200351843122
Image 19,0.5237485192942076,0.6102506090814629,0.6085731343098751,0.6013537935930543,0.6016342670308016
Image 20,0.7661125671788891,0.8713382549080839,0.8758483608151808,0.8672846688626591,0.8708710924980312
Image 21,0.5615440626284335,0.6913702570706327,0.8286038003389239,0.692502312638979,0.7373920948086196
Image 22,0.6807856813196173,0.795188263233873,0.8462253547793401,0.8078802086949265,0.8267815091319077
Image 23,0.8429377631140533,0.9021562133304618,0.9322250727738505,0.9146913900942634,0.9245953394203829
Image 24,0.7299333831189488,0.8255303998741453,0.8780274724239717,0.8402054814560632,0.8595167855972158
Image 25,0.7634274644568207,0.8743133284042338,0.857463629870498,0.8649958143526076,0.8602705788786628
Image 26,0.6629627902245702,0.7726708392133195,0.8368547526058387,0.7938008649267446,0.8161463890504078
Image 27,0.6092517754655894,0.7276967395147523,0.8272335307918167,0.7376148215435997,0.7740755547783386
Image 28,0.6717354119757589,0.7747220803126512,0.852015953131024,0.7941873152506584,0.8222535886396454
Image 29,0.6934726451412708,0.8017161357669963,0.8464338257585612,0.8157554171790476,0.8316158923521044
Image 30,0.5450424367432994,0.6440077404102139,0.6557724135670356,0.6376318622953233,0.6432723869445972
Image 31,0.3571823619052859,0.5582073740843913,0.4780449359255042,0.46139267174133974,0.45332597676775266
Image 32,0.6349676763732618,0.7283354965607414,0.8114390620649191,0.7555544575214573,0.7843861471149788
Image 33,0.6734481967667852,0.783483461137898,0.7915737600148726,0.7873457206191171,0.7898381001292929
Image 34,0.6559495722076046,0.8250515749800164,0.7610966684036992,0.786873139663219,0.7700770149753966
Image 35,0.7186743830252321,0.7730430426632723,0.9294084111317865,0.8174243184569461,0.8705530961263198
Image 36,0.5135259770337658,0.6256085480699392,0.6193407213325152,0.606628263583538,0.607453980428514
Image 37,0.5903882404415645,0.6789465155806055,0.7811509257738557,0.6949162081349947,0.7296350520816532
Image 38,0.5370730366970121,0.6113460415917119,0.611082109690354,0.6035769247593269,0.6036200351843122
Image 39,0.5237485192942076,0.6102506090814629,0.6085731343098751,0.6013537935930543,0.6016342670308016
Image 40,0.7661125671788891,0.8713382549080839,0.8758483608151808,0.8672846688626591,0.8708710924980312
Image 41,0.5615440626284335,0.6913702570706327,0.8286038003389239,0.692502312638979,0.7373920948086196
Image 42,0.6807856813196173,0.795188263233873,0.8462253547793401,0.8078802086949265,0.8267815091319077
Image 43,0.8429377631140533,0.9021562133304618,0.9322250727738505,0.9146913900942634,0.9245953394203829
Image 44,0.7299333831189488,0.8255303998741453,0.8780274724239717,0.8402054814560632,0.8595167855972158
Image 45,0.7634274644568207,0.8743133284042338,0.857463629870498,0.8649958143526076,0.8602705788786628
Image 46,0.6629627902245702,0.7726708392133195,0.8368547526058387,0.7938008649267446,0.8161463890504078
Image 47,0.6092517754655894,0.7276967395147523,0.8272335307918167,0.7376148215435997,0.7740755547783386
Image 48,0.6717354119757589,0.7747220803126512,0.852015953131024,0.7941873152506584,0.8222535886396454
Image 49,0.6934726451412708,0.8017161357669963,0.8464338257585612,0.8157554171790476,0.8316158923521044
Image 50,0.5450424367432994,0.6440077404102139,0.6557724135670356,0.6376318622953233,0.6432723869445972
Image 51,0.3571823619052859,0.5582073740843913,0.4780449359255042,0.46139267174133974,0.45332597676775266
Image 52,0.6349676763732618,0.7283354965607414,0.8114390620649191,0.7555544575214573,0.7843861471149788
Image 53,0.6734481967667852,0.783483461137898,0.7915737600148726,0.7873457206191171,0.7898381001292929
Image 54,0.6559495722076046,0.8250515749800164,0.7610966684036992,0.786873139663219,0.7700770149753966
Image 55,0.7186743830252321,0.7730430426632723,0.9294084111317865,0.8174243184569461,0.8705530961263198
Image 56,0.5135259770337658,0.6256085480699392,0.6193407213325152,0.606628263583538,0.607453980428514
Image 57,0.5903882404415645,0.6789465155806055,0.7811509257738557,0.6949162081349947,0.7296350520816532
Image 58,0.5370730366970121,0.6113460415917119,0.611082109690354,0.6035769247593269,0.6036200351843122
Image 59,0.5237485192942076,0.6102506090814629,0.6085731343098751,0.6013537935930543,0.6016342670308016
Image 60,0.7661125671788891,0.8713382549080839,0.8758483608151808,0.8672846688626591,0.8708710924980312
Image 61,0.5615440626284335,0.6913702570706327,0.8286038003389239,0.692502312638979,0.7373920948086196
Image 62,0.6807856813196173,0.795188263233873,0.8462253547793401,0.8078802086949265,0.8267815091319077
Image 63,0.8429377631140533,0.9021562133304618,0.9322250727738505,0.9146913900942634,0.9245953394203829
Image 64,0.7299333831189488,0.8255303998741453,0.8780274724239717,0.8402054814560632,0.8595167855972158
Image 65,0.7634274644568207,0.8743133284042338,0.857463629870498,0.8649958143526076,0.8602705788786628
Image 66,0.6629627902245702,0.7726708392133195,0.8368547526058387,0.7938008649267446,0.8161463890504078
Image 67,0.6092517754655894,0.7276967395147523,0.8272335307918167,0.7376148215435997,0.7740755547783386
Image 68,0.6717354119757589,0.7747220803126512,0.852015953131024,0.7941873152506584,0.8222535886396454
Image 69,0.6934726451412708,0.8017161357669963,0.8464338257585612,0.8157554171790476,0.8316158923521044
Image 70,0.5450424367432994,0.6440077404102139,0.6557724135670356,0.6376318622953233,0.6432723869445972
Image 71,0.3571823619052859,0.5582073740843913,0.4780449359255042,0.46139267174133974,0.45332597676775266
Image 72,0.6349676763732618,0.7283354965607414,0.8114390620649191,0.7555544575214573,0.7843861471149788
Image 73,0.6734481967667852,0.783483461137898,0.7915737600148726,0.7873457206191171,0.7898381001292929
Image 74,0.6559495722076046,0.8250515749800164,0.7610966684036992,0.786873139663219,0.7700770149753966
Image 75,0.7186743830252321,0.7730430426632723,0.9294084111317865,0.8174243184569461,0.8705530961263198
Image 76,0.5135259770337658,0.6256085480699392,0.6193407213325152,0.606628263583538,0.607453980428514
Image 77,0.5903882404415645,0.6789465155806055,0.7811509257738557,0.6949162081349947,0.7296350520816532
Image 78,0.5370730366970121,0.6113460415917119,0.611082109690354,0.6035769247593269,0.6036200351843122
Image 79,0.5237485192942076,0.6102506090814629,0.6085731343098751,0.6013537935930543,0.6016342670308016
Image 80,0.7661125671788891,0.8713382549080839,0.8758483608151808,0.8672846688626591,0.8708710924980312
Image 81,0.5615440626284335,0.6913702570706327,0.8286038003389239,0.692502312638979,0.7373920948086196
Image 82,0.6807856813196173,0.795188263233873,0.8462253547793401,0.8078802086949265,0.8267815091319077
Image 83,0.8429377631140533,0.9021562133304618,0.9322250727738505,0.9146913900942634,0.9245953394203829
Image 84,0.7299333831189488,0.8255303998741453,0.8780274724239717,0.8402054814560632,0.8595167855972158
Image 85,0.7634274644568207,0.8743133284042338,0.857463629870498,0.8649958143526076,0.8602705788786628
Image 86,0.6629627902245702,0.7726708392133195,0.8368547526058387,0.7938008649267446,0.8161463890504078
Image 87,0.6092517754655894,0.7276967395147523,0.8272335307918167,0.7376148215435997,0.7740755547783386
Image 88,0.6717354119757589,0.7747220803126512,0.852015953131024,0.7941873152506584,0.8222535886396454
Image 89,0.6934726451412708,0.8017161357669963,0.8464338257585612,0.8157554171790476,0.8316158923521044
Image 90,0.5450424367432994,0.6440077404102139,0.6557724135670356,0.6376318622953233,0.6432723869445972
Image 91,0.3571823619052859,0.5582073740843913,0.4780449359255042,0.46139267174133974,0.45332597676775266
Image 92,0.6349676763732618,0.7283354965607414,0.8114390620649191,0.7555544575214573,0.7843861471149788
Image 93,0.6734481967667852,0.783483461137898,0.7915737600148726,0.7873457206191171,0.7898381001292929
Image 94,0.6559495722076046,0.8250515749800164,0.7610966684036992,0.786873139663219,0.7700770149753966
Image 95,0.7186743830252321,0.7730430426632723,0.9294084111317865,0.8174243184569461,0.8705530961263198
Image 96,0.5135259770337658,0.6256085480699392,0.6193407213325152,0.606628263583538,0.607453980428514
Image 97,0.5903882404415645,0.6789465155806055,0.7811509257738557,0.6949162081349947,0.7296350520816532
Image 98,0.5370730366970121,0.6113460415917119,0.611082109690354,0.6035769247593269,0.6036200351843122
Image 99,0.5237485192942076,0.6102506090814629,0.6085731343098751,0.6013537935930543,0.6016342670308016
Image 100,0.7661125671788891,0.8713382549080839,0.8758483608151808,0.8672846688626591,0.8708710924980312
Image 101,0.5615440626284335,0.6913702570706327,0.8286038003389239,0.692502312638979,0.7373920948086196
Image 102,0.6807856813196173,0.795188263233873,0.8462253547793401,0.8078802086949265,0.8267815091319077
Image 103,0.8429377631140533,0.9021562133304618,0.9322250727738505,0.9146913900942634,0.9245953394203829
Image 104,0.7299333831189488,0.8255303998741453,0.8780274724239717,0.8402054814560632,0.8595167855972158
Image 105,0.7634274644568207,0.8743133284042338,0.857463629870498,0.8649958143526076,0.8602705788786628
Image 106,0.6629627902245702,0.7726708392133195,0.8368547526058387,0.7938008649267446,0.8161463890504078
Image 107,0.6092517754655894,0.7276967395147523,0.8272335307918167,0.7376148215435997,0.7740755547783386
Image 108,0.6717354119757589,0.7747220803126512,0.852015953131024,0.7941873152506584,0.8222535886396454
Image 109,0.6934726451412708,0.8017161357669963,0.8464338257585612,0.8157554171790476,0.8316158923521044
Image 110,0.5450424367432994,0.6440077404102139,0.6557724135670356,0.6376318622953233,0.6432723869445972
Image 111,0.3571823619052859,0.5582073740843913,0.4780449359255042,0.46139267174133974,0.45332597676775266
Image 112,0.6349676763732618,0.7283354965607414,0.8114390620649191,0.7555544575214573,0.7843861471149788
Image 113,0.6734481967667852,0.783483461137898,0.7915737600148726,0.7873457206191171,0.7898381001292929
Image 114,0.6559495722076046,0.8250515749800164,0.7610966684036992,0.786873139663219,0.7700770149753966
Image 115,0.7186743830252321,0.7730430426632723,0.9294084111317865,0.8174243184569461,0.8705530961263198
Image 116,0.5135259770337658,0.6256085480699392,0.6193407213325152,0.606628263583538,0.607453980428514
Image 117,0.5903882404415645,0.6789465155806055,0.7811509257738557,0.6949162081349947,0.7296350520816532
Image 118,0.5370730366970121,0.6113460415917119,0.611082109690354,0.6035769247593269,0.6036200351843122
Image 119,0.5237485192942076,0.6102506090814629,0.6085731343098751,0.6013537935930543,0.6016342670308016
Image 120,0.7661125671788891,0.8713382549080839,0.8758483608151808,0.8672846688626591,0.8708710924980312
Image 121,0.5615440626284335,0.6913702570706327,0.8286038003389239,0.692502312638979,0.7373920948086196
Image 122,0.6807856813196173,0.795188263233873,0.8462253547793401,0.8078802086949265,0.8267815091319077
Image 123,0.8429377631140533,0.9021562133304618,0.9322250727738505,0.9146913900942634,0.9245953394203829
Image 124,0.7299333831189488,0.8255303998741453,0.8780274724239717,0.8402054814560632,0.8595167855972158
Image 125,0.7634274644568207,0.8743133284042338,0.857463629870498,0.8649958143526076,0.8602705788786628
Image 126,0.6629627902245702,0.7726708392133195,0.8368547526058387,0.7938008649267446,0.8161463890504078
Image 127,0.6092517754655894,0.7276967395147523,0.8272335307918167,0.7376148215435997,0.7740755547783386
Image 128,0.6717354119757589,0.7747220803126512,0.852015953131024,0.7941873152506584,0.8222535886396454
Image 129,0.6934726451412708,0.8017161357669963,0.8464338257585612,0.8157554171790476,0.8316158923521044
Image 130,0.5450424367432994,0.6440077404102139,0.6557724135670356,0.6376318622953233,0.6432723869445972
Image 131,0.3571823619052859,0.5582073740843913,0.4780449359255042,0.46139267174133974,0.45332597676775266
Image 132,0.6349676763732618,0.7283354965607414,0.8114390620649191,0.7555544575214573,0.7843861471149788
Image 133,0.6734481967667852,0.783483461137898,0.7915737600148726,0.7873457206191171,0.7898381001292929
Image 134,0.6559495722076046,0.8250515749800164,0.7610966684036992,0.786873139663219,0.7700770149753966
Image 135,0.7186743830252321,0.7730430426632723,0.9294084111317865,0.8174243184569461,0.8705530961263198
Image 136,0.5135259770337658,0.6256085480699392,0.6193407213325152,0.606628263583538,0.607453980428514
Image 137,0.5903882404415645,0.6789465155806055,0.7811509257738557,0.6949162081349947,0.7296350520816532
Image 138,0.5370730366970121,0.6113460415917119,0.611082109690354,0.6035769247593269,0.6036200351843122
Image 139,0.5237485192942076,0.6102506090814629,0.6085731343098751,0.6013537935930543,0.6016342670308016
Image 140,0.7661125671788891,0.8713382549080839,0.8758483608151808,0.8672846688626591,0.8708710924980312
Image 141,0.5615440626284335,0.6913702570706327,0.8286038003389239,0.692502312638979,0.7373920948086196
Image 142,0.6807856813196173,0.795188263233873,0.8462253547793401,0.8078802086949265,0.8267815091319077
Image 143,0.8429377631140533,0.9021562133304618,0.9322250727738505,0.9146913900942634,0.9245953394203829
Image 144,0.7299333831189488,0.8255303998741453,0.8780274724239717,0.8402054814560632,0.8595167855972158
Image 145,0.7634274644568207,0.8743133284042338,0.857463629870498,0.8649958143526076,0.8602705788786628
Image 146,0.6629627902245702,0.7726708392133195,0.8368547526058387,0.7938008649267446,0.8161463890504078
