Image_name,mIoU,Precision,Recall,F1-score(Dice-score),F2-score
Image 1,0.45785484388790815,0.7499885471139883,0.6503879647809675,0.5544031038602758,0.6041702852693346
Image 2,0.3810198343298455,0.6517502957929616,0.6419500226076592,0.5315296411291471,0.5789169327182465
Image 3,0.46518045538050573,0.5774609910173026,0.8333050563494567,0.5742258133541517,0.6426427932692085
Image 4,0.6095501621991232,0.7909150402204931,0.7579945138977898,0.7494280737881769,0.7497234930139914
Image 5,0.3454692323594379,0.449051782843223,0.4342323814936956,0.4176357670372772,0.4264981262260663
Image 6,0.2178165273239301,0.3312932742868753,0.34018031573348056,0.32831154511179456,0.3335995548655631
Image 7,0.5435941109288143,0.8166239274160448,0.5989467979599432,0.6138850940373256,0.6031708042112477
Image 8,0.6394261692699615,0.8402264635285182,0.7182601507981922,0.7655182597955822,0.7347568203430708
Image 9,0.5563862804480549,0.9116190598299853,0.6206413410088011,0.6211318984812806,0.6180815774709891
Image 10,0.429636885351315,0.6996513762836442,0.6519388456080715,0.5550764446304234,0.5916373374586599
Image 11,0.44713405353493085,0.696679108880749,0.5610411110278937,0.5699437256628253,0.5586384775374993
Image 12,0.46889901509877346,0.5976137712659484,0.8188143843120157,0.6312598885928576,0.7134875734795717
Image 13,0.7256891335254606,0.7937429422145775,0.8921404971838012,0.8334767366497654,0.8659764192680307
Image 14,0.435195491573813,0.6466995117024055,0.5386510965041841,0.5317920195001269,0.5308429789293261
Image 15,0.4897833326766518,0.6719454394856124,0.6989846828549293,0.6410191036149954,0.6570641739919331
Image 16,0.661136720552844,0.7951949340065427,0.7943216050773603,0.790735434709085,0.7918239793602379
Image 17,0.84580113578425,0.9604946690351408,0.8852939407154057,0.9146566844911139,0.8953916524999035
Image 18,0.41311228433345953,0.5663064350706386,0.6034893921473848,0.5525429521905988,0.5699048249057111
Image 19,0.6738043821556182,0.7667859833415024,0.8351448411193524,0.7751816789273279,0.8011523670801218
Image 20,0.4916220531332061,0.6451101311414479,0.7657089099162531,0.6400705166582265,0.6813080858873377
Image 21,0.45785484388790815,0.7499885471139883,0.6503879647809675,0.5544031038602758,0.6041702852693346
Image 22,0.3810198343298455,0.6517502957929616,0.6419500226076592,0.5315296411291471,0.5789169327182465
Image 23,0.46518045538050573,0.5774609910173026,0.8333050563494567,0.5742258133541517,0.6426427932692085
Image 24,0.6095501621991232,0.7909150402204931,0.7579945138977898,0.7494280737881769,0.7497234930139914
Image 25,0.3454692323594379,0.449051782843223,0.4342323814936956,0.4176357670372772,0.4264981262260663
Image 26,0.2178165273239301,0.3312932742868753,0.34018031573348056,0.32831154511179456,0.3335995548655631
