Image_name,mIoU,Precision,Recall,F1-score(Dice-score),F2-score
Image 1,0.9414678123638965,0.9626416936933229,0.9756209461585006,0.9689438371284247,0.9729034051103939
Image 2,0.9352485669115979,0.9759758219571252,0.9580835165262784,0.9664034098607326,0.9612671086417534
Image 3,0.9025698043953745,0.9502312339362152,0.9450620181119364,0.9474690598091816,0.9459828925799382
Image 4,0.8352740655428318,0.9709447368755351,0.8527866984144387,0.8980496210588028,0.8686465059718493
Image 5,0.8628381075210685,0.9601534543741788,0.8873926550260176,0.9179952718463397,0.8985456170496469
Image 6,0.931828118120424,0.9643650112103347,0.9649978626597236,0.9646564011564432,0.9648552933350661
Image 7,0.9070338968683208,0.9485778949231327,0.9499690348364757,0.9491913532981697,0.9496383747072343
Image 8,0.9595131033049303,0.9828501020562807,0.9760987095945333,0.9792861845753827,0.9773298367788188
Image 9,0.9596202875774488,0.9783938247509997,0.9803149849133238,0.9793378457003522,0.9799201236248921
Image 10,0.9056570561759248,0.9490461816951656,0.9517317714300044,0.9502727499411815,0.951119781518241
Image 11,0.8547122041800251,0.9061850722476389,0.9266152673911403,0.9155764271901558,0.9219869573975165
Image 12,0.9480762688732781,0.9797119634227279,0.9660568407193452,0.9726464342756701,0.9686377030279175
Image 13,0.9617528435976787,0.9851456850284682,0.9762814017414794,0.9804803973858234,0.9779063363340659
Image 14,0.9220148845818308,0.957232808712583,0.9609464525657524,0.9590277528421307,0.9601638785815404
Image 15,0.9457393571739366,0.9763787280193487,0.9673715101931487,0.9717225960267796,0.969076324162789
Image 16,0.935590360019327,0.9636642993200214,0.9688095711578768,0.9661475142335023,0.9677228516057134
Image 17,0.9682022009009016,0.9837503664512922,0.9840134109243396,0.9838188607674422,0.9839203189443952
Image 18,0.8919497577152328,0.9359705566866254,0.9441139716154924,0.9399181751915178,0.9424049603533744
Image 19,0.9215223007207518,0.9547891994463104,0.9624436809656544,0.9584050695719357,0.9607761715235528
Image 20,0.8687508486572204,0.9439284829223538,0.9074753354876967,0.9245397595684305,0.9140455276390481
Image 21,0.9414678123638965,0.9626416936933229,0.9756209461585006,0.9689438371284247,0.9729034051103939
Image 22,0.9352485669115979,0.9759758219571252,0.9580835165262784,0.9664034098607326,0.9612671086417534
